network,mean_attribution,std_attribution,n_regions,total_attribution
FPA,360.6667,68.252,3,1082
DefaultB,353.3333,109.4891,6,2120
Striatum,346.4167,100.6971,12,4157
LimbicA,339.3333,111.6739,6,2036
FPC,307.6364,134.8156,11,3384
LimbicB,291.4444,140.5113,18,5246
SalVentAttnB,273.0,50.2629,12,3276
DefaultC,272.8571,107.571,14,3820
AmyHip,261.375,141.8308,8,2091
DorsAttnA,257.9286,166.5521,14,3611
Yeo17_0,255.3333,150.7791,3,766
TempPar,251.5,158.7381,18,4527
FPB,250.9286,165.9251,14,3513
SomMotA,246.8,131.353,15,3702
DorsAttnB,246.7333,131.9564,15,3701
VisCent,235.1818,152.2582,11,2587
SomMotB,222.4118,95.5282,17,3781
Thalamus,189.8125,119.1773,16,3037
SalVentAttnA,164.7273,75.3778,11,1812
VisPeri,154.2857,108.6161,14,2160
DefaultA,136.375,93.0913,8,1091
