network,mean_attribution,std_attribution,n_regions,total_attribution
DefaultB,341.6667,123.6813,6,2050
LimbicA,326.6667,115.3545,6,1960
Striatum,322.5833,120.0708,12,3871
LimbicB,318.8333,145.4815,18,5739
AmyHip,310.375,120.4432,8,2483
SomMotA,306.6667,122.7533,15,4600
FPA,286.6667,46.3609,3,860
VisCent,273.4545,135.3361,11,3008
DorsAttnB,263.5333,143.3965,15,3953
FPC,251.9091,138.2175,11,2771
Yeo17_0,249.6667,109.0886,3,749
Thalamus,245.375,146.4021,16,3926
TempPar,234.6111,126.1055,18,4223
FPB,233.6429,157.193,14,3271
DorsAttnA,229.2857,138.0866,14,3210
SalVentAttnB,223.8333,93.1273,12,2686
SomMotB,219.8235,108.9623,17,3737
VisPeri,214.3571,120.9212,14,3001
DefaultC,177.9286,89.7539,14,2491
SalVentAttnA,158.0,79.7784,11,1738
DefaultA,146.625,82.5988,8,1173
