network,mean_attribution,std_attribution,n_regions,total_attribution
DefaultB,374.6667,149.247,6,2248
Striatum,356.0833,120.448,12,4273
SomMotA,313.2667,116.0822,15,4699
Thalamus,306.0625,155.957,16,4897
FPC,298.0,137.9384,11,3278
DorsAttnB,278.5333,130.9787,15,4178
LimbicB,267.7778,153.5492,18,4820
FPA,267.0,91.6897,3,801
AmyHip,263.75,135.6337,8,2110
SalVentAttnB,259.8333,78.3672,12,3118
FPB,258.1429,156.6175,14,3614
LimbicA,257.0,151.5309,6,1542
TempPar,245.7778,159.3467,18,4424
DorsAttnA,226.2143,150.877,14,3167
VisCent,224.5455,129.2172,11,2470
SomMotB,208.5294,112.1896,17,3545
DefaultC,199.4286,125.8673,14,2792
Yeo17_0,191.6667,88.7938,3,575
SalVentAttnA,169.9091,58.6438,11,1869
VisPeri,157.3571,103.7909,14,2203
DefaultA,109.625,77.075,8,877
