ROI_Index,Region_Name,Count,Rank
242,"Otha, occipital thalamus,Right",497,1
112,"A35/36c, caudal area 35/36,Right",494,2
115,"A28/34, area 28/34 (EC, entorhinal cortex),Left",492,3
149,"A5m, medial area 5(PEm),Left",492,4
45,"A11l, lateral area 11,Left",491,5
94,"A20r, rostral area 20,Right",491,6
227,"dCa, dorsal caudate,Left",491,7
111,"A35/36c, caudal area 35/36,Left",487,8
109,"A35/36r, rostral area 35/36,Left",485,9
32,"IFS, inferior frontal sulcus,Right",483,10
211,"mAmyg, medial amygdala,Left",482,11
54,"A4hf, area 4(head and face region),Right",481,12
24,"A8vl, ventrolateral area 8,Right",476,13
84,"A21r, rostral area 21,Right",473,14
78,"A38l, lateral area 38,Right",472,15
116,"A28/34, area 28/34 (EC, entorhinal cortex),Right",470,16
17,"IFJ, inferior frontal junction,Left",466,17
138,"A39rd, rostrodorsal area 39(Hip3),Right",462,18
60,"A4t, area 4(trunk region),Right",458,19
228,"dCa, dorsal caudate,Right",458,20
190,"cLinG, caudal lingual gyrus,Right",456,21
135,"A39c, caudal area 39(PGp),Left",453,22
93,"A20r, rostral area 20,Left",450,23
230,"dlPu, dorsolateral putamen,Right",449,24
57,"A4ul, area 4(upper limb region),Left",443,25
212,"mAmyg, medial amygdala,Right",440,26
151,"dmPOS, dorsomedial parietooccipital  sulcus(PEr) ,Left",436,27
92,"A37elv, extreme lateroventral area37,Right",434,28
238,"rTtha, rostral temporal thalamus,Right",434,29
19,"A46, area 46,Left",430,30
241,"Otha, occipital thalamus,Left",428,31
126,"A7r, rostral area 7,Right",427,32
208,"msOccG, medial superior occipital gyrus,Right",427,33
25,"A6vl, ventrolateral area 6,Left",412,34
222,"GP, globus pallidus,Right",408,35
195,"rLinG, rostral lingual gyrus,Left",407,36
48,"A11m, medial area 11,Right",406,37
159,"A2, area 2,Left",405,38
139,"A40rd, rostrodorsal area 40(PFt),Left",404,39
233,"mPMtha, pre-motor thalamus,Left",402,40
59,"A4t, area 4(trunk region),Left",394,41
130,"A5l, lateral area 5,Right",394,42
69,"A38m, medial area 38,Left",393,43
160,"A2, area 2,Right",392,44
67,"A4ll, area 4, (lower limb region),Left",391,45
207,"msOccG, medial superior occipital gyrus,Left",389,46
216,"rHipp, rostral hippocampus,Right",386,47
6,"A9l, lateral area 9,Right",384,48
34,"A45c, caudal area 45,Right",384,49
70,"A38m, medial area 38,Right",384,50
