Brain Regions,Subdivision,(ID) Region Label,Count
"A9l, lateral area 9,Left","dCa, dorsal caudate","(227), Str_L_6_5",499
"A9l, lateral area 9,Right","Otha, occipital thalamus","(242), Tha_R_8_6",498
"A8m, medial area 8,Right","IFJ, inferior frontal junction","(17), MFG_L_7_2",497
"A8m, medial area 8,Right","A35/36c, caudal area 35/36","(112), PhG_R_6_2",496
"A8m, medial area 8,Right","IFS, inferior frontal sulcus","(32), IFG_R_6_2",493
"A8m, medial area 8,Right","A37vm, ventromedial area37","(92), ITG_R_7_2",492
"A8m, medial area 8,Left","A39c, caudal area 39(PGp)","(135), IPL_L_6_1",491
"A8m, medial area 8,Left","A35/36r, rostral area 35/36","(109), PhG_L_6_1",490
"A8m, medial area 8,Right","A5m, medial area 5(PEm)","(149), Pcun_L_4_2",490
"A9l, lateral area 9,Right","Otha, occipital thalamus","(241), Tha_L_8_6",490
"A8m, medial area 8,Right","A21r, rostral area 21","(84), MTG_R_4_2",488
"A9l, lateral area 9,Left","A8vl, ventrolateral area 8","(24), MFG_R_7_5",487
"A8dl, dorsolateral area 8,Right","A28/34, area 28/34 (EC, entorhinal cortex)","(115), PhG_L_6_4",487
"A8dl, dorsolateral area 8,Left","A20r, rostral area 20","(94), ITG_R_7_3",485
"A9l, lateral area 9,Left","A38l, lateral area 38","(78), STG_R_6_5",484
"A8m, medial area 8,Right","A35/36c, caudal area 35/36","(111), PhG_L_6_2",484
"A8m, medial area 8,Left","A4hf, area 4(head and face region)","(54), PrG_R_6_1",478
"A8dl, dorsolateral area 8,Right","A28/34, area 28/34 (EC, entorhinal cortex)","(116), PhG_R_6_4",475
"A8dl, dorsolateral area 8,Right","A20il, intermediate lateral area 20","(96), ITG_R_7_4",470
"A9l, lateral area 9,Right","A9m,medial area 9","(12), SFG_R_7_6",466
"A8dl, dorsolateral area 8,Left","A20r, rostral area 20","(93), ITG_L_7_3",466
"A8dl, dorsolateral area 8,Left","A9l, lateral area 9","(5), SFG_L_7_3",463
"A8dl, dorsolateral area 8,Left","A9l, lateral area 9","(6), SFG_R_7_3",462
"A8dl, dorsolateral area 8,Right","A23v, ventral area 23","(181), CG_L_7_4",461
"A8m, medial area 8,Right","A39rd, rostrodorsal area 39(Hip3)","(138), IPL_R_6_2",460
"A8dl, dorsolateral area 8,Left","A11l, lateral area 11","(45), OrG_L_6_3",458
"A8m, medial area 8,Left","mAmyg, medial amyg","(212), Amyg_R_2_1",458
"A8dl, dorsolateral area 8,Right","A23v, ventral area 23","(182), CG_R_7_4",456
"A8dl, dorsolateral area 8,Left","A40rd, rostrodorsal area 40(PFt)","(139), IPL_L_6_3",454
"A8m, medial area 8,Left","mAmyg, medial amyg","(211), Amyg_L_2_1",452
"A8dl, dorsolateral area 8,Left","dmPOS, dorsomeidal parietooccipital  sulcus(PEr) ","(151), Pcun_L_4_3",451
"A8m, medial area 8,Left","A7ip, intraparietal area 7(hIP3)","(126), SPL_R_5_1",444
"A9l, lateral area 9,Left","dCa, dorsal caudate","(228), Str_R_6_5",436
"A8m, medial area 8,Left","A38m, medial area 38","(70), STG_R_6_1",432
"A8dl, dorsolateral area 8,Right","A4t, area 4(trunk region)","(60), PrG_R_6_4",430
"A8m, medial area 8,Right","A12/47o, orbital area 12/47","(44), OrG_R_6_2",428
"A8m, medial area 8,Left","A38m, medial area 38","(69), STG_L_6_1",428
"A8dl, dorsolateral area 8,Left","A2, area 2","(160), PoG_R_4_3",426
"A8m, medial area 8,Left","cLinG, caudal lingual gyrus","(190), Cun_R_5_1",422
"A9l, lateral area 9,Right","A6vl, ventrolateral area 6","(25), MFG_L_7_6",419
"A8m, medial area 8,Left","A23d, dorsal area 23","(176), CG_R_7_1",419
"A6dl, dorsolateral area 6,Left","cTtha, caudal Temporal thalamus","(243), Tha_L_8_7",419
"A8dl, dorsolateral area 8,Right","rTtha, rostral Temporal thalamus","(238), Tha_R_8_4",418
"A8dl, dorsolateral area 8,Left","A45c, caudal area 45","(34), IFG_R_6_3",415
"A8m, medial area 8,Right","GP, globus pallidus","(222), Str_R_6_2",413
"A9l, lateral area 9,Right","A23c, caudal area 24","(185), CG_L_7_6",410
"A9l, lateral area 9,Left","A13, area 13","(49), OrG_L_6_5",406
"A9l, lateral area 9,Right","A9m,medial area 9","(11), SFG_L_7_6",404
"A8m, medial area 8,Right","A37vm, ventromedial area37","(91), ITG_L_7_2",404
"A8dl, dorsolateral area 8,Left","A46, area 46","(19), MFG_L_7_3",396
