ROI_Index,Region_Name,Count,Rank
227,"dCa, dorsal caudate,Left",499,1
242,"Otha, occipital thalamus,Right",498,2
17,"IFJ, inferior frontal junction,Left",497,3
112,"A35/36c, caudal area 35/36,Right",496,4
32,"IFS, inferior frontal sulcus,Right",493,5
92,"A37elv, extreme lateroventral area37,Right",492,6
135,"A39c, caudal area 39(PGp),Left",491,7
109,"A35/36r, rostral area 35/36,Left",490,8
149,"A5m, medial area 5(PEm),Left",490,9
241,"Otha, occipital thalamus,Left",490,10
84,"A21r, rostral area 21,Right",488,11
24,"A8vl, ventrolateral area 8,Right",487,12
115,"A28/34, area 28/34 (EC, entorhinal cortex),Left",487,13
94,"A20r, rostral area 20,Right",485,14
78,"A38l, lateral area 38,Right",484,15
111,"A35/36c, caudal area 35/36,Left",484,16
54,"A4hf, area 4(head and face region),Right",478,17
116,"A28/34, area 28/34 (EC, entorhinal cortex),Right",475,18
96,"A20il, intermediate lateral area 20,Right",470,19
12,"A9m,medial area 9,Right",466,20
93,"A20r, rostral area 20,Left",466,21
5,"A9l, lateral area 9,Left",463,22
6,"A9l, lateral area 9,Right",462,23
181,"A23v, ventral area 23,Left",461,24
138,"A39rd, rostrodorsal area 39(Hip3),Right",460,25
45,"A11l, lateral area 11,Left",458,26
212,"mAmyg, medial amygdala,Right",458,27
182,"A23v, ventral area 23,Right",456,28
139,"A40rd, rostrodorsal area 40(PFt),Left",454,29
211,"mAmyg, medial amygdala,Left",452,30
151,"dmPOS, dorsomedial parietooccipital  sulcus(PEr) ,Left",451,31
126,"A7r, rostral area 7,Right",444,32
228,"dCa, dorsal caudate,Right",436,33
70,"A38m, medial area 38,Right",432,34
60,"A4t, area 4(trunk region),Right",430,35
44,"A12/47o, orbital area 12/47,Right",428,36
69,"A38m, medial area 38,Left",428,37
160,"A2, area 2,Right",426,38
190,"cLinG, caudal lingual gyrus,Right",422,39
25,"A6vl, ventrolateral area 6,Left",419,40
176,"A23d, dorsal area 23,Right",419,41
243,"cTtha, caudal temporal thalamus,Left",419,42
238,"rTtha, rostral temporal thalamus,Right",418,43
34,"A45c, caudal area 45,Right",415,44
222,"GP, globus pallidus,Right",413,45
185,"A23c, caudal area 23,Left",410,46
49,"A13, area 13,Left",406,47
11,"A9m,medial area 9,Left",404,48
91,"A37elv, extreme lateroventral area37,Left",404,49
19,"A46, area 46,Left",396,50
