ROI_Index,Region_Name,Count,Rank
24,"A8vl, ventrolateral area 8,Right",500,1
241,"Otha, occipital thalamus,Left",498,2
149,"A5m, medial area 5(PEm),Left",495,3
32,"IFS, inferior frontal sulcus,Right",494,4
111,"A35/36c, caudal area 35/36,Left",494,5
112,"A35/36c, caudal area 35/36,Right",494,6
5,"A9l, lateral area 9,Left",493,7
17,"IFJ, inferior frontal junction,Left",492,8
6,"A9l, lateral area 9,Right",491,9
12,"A9m,medial area 9,Right",487,10
84,"A21r, rostral area 21,Right",487,11
54,"A4hf, area 4(head and face region),Right",485,12
138,"A39rd, rostrodorsal area 39(Hip3),Right",485,13
92,"A37elv, extreme lateroventral area37,Right",484,14
242,"Otha, occipital thalamus,Right",483,15
94,"A20r, rostral area 20,Right",481,16
115,"A28/34, area 28/34 (EC, entorhinal cortex),Left",479,17
109,"A35/36r, rostral area 35/36,Left",473,18
135,"A39c, caudal area 39(PGp),Left",472,19
116,"A28/34, area 28/34 (EC, entorhinal cortex),Right",468,20
45,"A11l, lateral area 11,Left",466,21
230,"dlPu, dorsolateral putamen,Right",466,22
60,"A4t, area 4(trunk region),Right",465,23
227,"dCa, dorsal caudate,Left",465,24
181,"A23v, ventral area 23,Left",453,25
13,"A10m, medial area 10,Left",451,26
211,"mAmyg, medial amygdala,Left",450,27
182,"A23v, ventral area 23,Right",449,28
78,"A38l, lateral area 38,Right",442,29
11,"A9m,medial area 9,Left",439,30
108,"A37lv, lateroventral area37,Right",439,31
139,"A40rd, rostrodorsal area 40(PFt),Left",438,32
160,"A2, area 2,Right",437,33
240,"PPtha, posterior parietal thalamus,Right",436,34
151,"dmPOS, dorsomedial parietooccipital  sulcus(PEr) ,Left",434,35
222,"GP, globus pallidus,Right",430,36
130,"A5l, lateral area 5,Right",428,37
229,"dlPu, dorsolateral putamen,Left",426,38
34,"A45c, caudal area 45,Right",421,39
7,"A6dl, dorsolateral area 6,Left",420,40
96,"A20il, intermediate lateral area 20,Right",420,41
238,"rTtha, rostral temporal thalamus,Right",420,42
30,"A44d,dorsal area 44,Right",417,43
57,"A4ul, area 4(upper limb region),Left",417,44
212,"mAmyg, medial amygdala,Right",414,45
226,"vmPu, ventromedial putamen,Right",412,46
18,"IFJ, inferior frontal junction,Right",410,47
176,"A23d, dorsal area 23,Right",406,48
14,"A10m, medial area 10,Right",403,49
228,"dCa, dorsal caudate,Right",403,50
