ROI_Index,Region_Name,Count,Rank
24,"A8vl, ventrolateral area 8,Right",498,1
17,"IFJ, inferior frontal junction,Left",497,2
5,"A9l, lateral area 9,Left",495,3
112,"A35/36c, caudal area 35/36,Right",494,4
84,"A21r, rostral area 21,Right",491,5
94,"A20r, rostral area 20,Right",491,6
6,"A9l, lateral area 9,Right",490,7
54,"A4hf, area 4(head and face region),Right",487,8
241,"Otha, occipital thalamus,Left",487,9
149,"A5m, medial area 5(PEm),Left",486,10
78,"A38l, lateral area 38,Right",477,11
109,"A35/36r, rostral area 35/36,Left",475,12
34,"A45c, caudal area 45,Right",474,13
92,"A37elv, extreme lateroventral area37,Right",474,14
227,"dCa, dorsal caudate,Left",472,15
32,"IFS, inferior frontal sulcus,Right",468,16
238,"rTtha, rostral temporal thalamus,Right",468,17
115,"A28/34, area 28/34 (EC, entorhinal cortex),Left",467,18
135,"A39c, caudal area 39(PGp),Left",467,19
111,"A35/36c, caudal area 35/36,Left",464,20
228,"dCa, dorsal caudate,Right",460,21
93,"A20r, rostral area 20,Left",459,22
219,"vCa, ventral caudate,Left",456,23
13,"A10m, medial area 10,Left",450,24
138,"A39rd, rostrodorsal area 39(Hip3),Right",450,25
182,"A23v, ventral area 23,Right",449,26
151,"dmPOS, dorsomedial parietooccipital  sulcus(PEr) ,Left",448,27
12,"A9m,medial area 9,Right",447,28
18,"IFJ, inferior frontal junction,Right",444,29
116,"A28/34, area 28/34 (EC, entorhinal cortex),Right",442,30
96,"A20il, intermediate lateral area 20,Right",441,31
45,"A11l, lateral area 11,Left",439,32
242,"Otha, occipital thalamus,Right",438,33
60,"A4t, area 4(trunk region),Right",436,34
152,"dmPOS, dorsomedial parietooccipital  sulcus(PEr) ,Right",435,35
130,"A5l, lateral area 5,Right",422,36
30,"A44d,dorsal area 44,Right",420,37
230,"dlPu, dorsolateral putamen,Right",420,38
147,"A7m, medial area 7(PEp),Left",419,39
67,"A4ll, area 4, (lower limb region),Left",416,40
69,"A38m, medial area 38,Left",415,41
160,"A2, area 2,Right",414,42
181,"A23v, ventral area 23,Left",408,43
240,"PPtha, posterior parietal thalamus,Right",407,44
126,"A7r, rostral area 7,Right",404,45
229,"dlPu, dorsolateral putamen,Left",399,46
57,"A4ul, area 4(upper limb region),Left",394,47
211,"mAmyg, medial amygdala,Left",390,48
59,"A4t, area 4(trunk region),Left",390,49
216,"rHipp, rostral hippocampus,Right",382,50
