Brain Regions,Subdivision,(ID) Region Label,Count
Prefrontal Cortex,"A9l, lateral area 9","(5), SFG_L_7_3",496
Middle Temporal Gyrus,"A35/36c, caudal area 35/36","(112), PhG_R_6_2",495
Prefrontal Cortex,"IFS, inferior frontal sulcus","(32), IFG_R_6_2",494
Thalamus,"Otha, occipital thalamus","(241), Tha_L_8_6",494
"PCC, Precuneus","A5m, medial area 5(PEm)","(149), Pcun_L_4_2",493
Prefrontal Cortex,"A9l, lateral area 9","(6), SFG_R_7_3",492
Prefrontal Cortex,"IFJ, inferior frontal junction","(17), MFG_L_7_2",492
Prefrontal Cortex,"A8vl, ventrolateral area 8","(24), MFG_R_7_5",491
Middle Temporal Gyrus,"A35/36c, caudal area 35/36","(111), PhG_L_6_2",490
Middle Temporal Gyrus,"A28/34, area 28/34 (EC, entorhinal cortex)","(115), PhG_L_6_4",489
Thalamus,"Otha, occipital thalamus","(242), Tha_R_8_6",488
Prefrontal Cortex,"A9m,medial area 9","(12), SFG_R_7_6",486
Inferior Temporal Gyrus,"A37vm, ventromedial area37","(92), ITG_R_7_2",484
Precentral Gyrus,"A4hf, area 4(head and face region)","(54), PrG_R_6_1",482
Prefrontal Cortex,"A11l, lateral area 11","(45), OrG_L_6_3",480
Striatum,"dlPu, dorsolateral putamen","(230), Str_R_6_6",479
Striatum,"dCa, dorsal caudate","(227), Str_L_6_5",472
Middle Temporal Gyrus,"A28/34, area 28/34 (EC, entorhinal cortex)","(116), PhG_R_6_4",468
Inferior Parietal Lobe,"A39rd, rostrodorsal area 39(Hip3)","(138), IPL_R_6_2",467
Thalamus,"rTtha, rostral Temporal thalamus","(238), Tha_R_8_4",463
Prefrontal Cortex,"A9m,medial area 9","(11), SFG_L_7_6",462
Middle Temporal Gyrus,"A35/36r, rostral area 35/36","(109), PhG_L_6_1",460
Middle Temporal Gyrus,"mAmyg, medial amyg","(211), Amyg_L_2_1",460
Inferior Parietal Lobe,"A39c, caudal area 39(PGp)","(135), IPL_L_6_1",459
Inferior Temporal Gyrus,"A20r, rostral area 20","(94), ITG_R_7_3",458
Prefrontal Cortex,"A10m, medial area 10","(13), SFG_L_7_7",457
Thalamus,"PPtha, posterior parietal thalamus","(240), Tha_R_8_5",457
Cingulate Gyrus,"A23v, ventral area 23","(182), CG_R_7_4",451
Striatum,"dlPu, dorsolateral putamen","(229), Str_L_6_6",447
Striatum,"GP, globus pallidus","(222), Str_R_6_2",445
Striatum,"vmPu, ventromedial putamen","(226), Str_R_6_4",445
Precentral Gyrus,"A4t, area 4(trunk region)","(60), PrG_R_6_4",441
Cingulate Gyrus,"A23v, ventral area 23","(181), CG_L_7_4",439
Superior Parietal Lobule,"A7ip, intraparietal area 7(hIP3)","(126), SPL_R_5_1",434
Middle Temporal Gyrus,"mAmyg, medial amyg","(212), Amyg_R_2_1",434
Inferior Temporal Gyrus,"A37vl, ventrolatral area37","(108), FuG_R_3_3",431
Thalamus,"mPMtha, pre-motor thalamus","(233), Tha_L_8_2",430
Prefrontal Cortex,"A6dl, dorsolateral area 6","(8), SFG_R_7_4",423
Precentral Gyrus,"A4t, area 4(trunk region)","(59), PrG_L_6_4",422
Thalamus,"lPFtha, lateral Pre-frontal thalamus","(246), Tha_R_8_8",420
Prefrontal Cortex,"A46, area 46","(19), MFG_L_7_3",413
Postcentral Gyrus,"A1/2/3tru, area1/2/3(trunk region)","(161), PoG_L_4_4",413
Prefrontal Cortex,"A6dl, dorsolateral area 6","(7), SFG_L_7_4",412
Striatum,"dCa, dorsal caudate","(228), Str_R_6_5",411
Prefrontal Cortex,"A45c, caudal area 45","(34), IFG_R_6_3",410
Precentral Gyrus,"A4ul, area 4(upper limb region)","(57), PrG_L_6_3",410
Superior Temporal Gyrus,"A38l, lateral area 38","(78), STG_R_6_5",406
Inferior Temporal Gyrus,"A20il, intermediate lateral area 20","(96), ITG_R_7_4",405
Prefrontal Cortex,"A44d,dorsal area 44","(30), IFG_R_6_1",400
Inferior Parietal Lobe,"A40rd, rostrodorsal area 40(PFt)","(139), IPL_L_6_3",400
