ROI_Index,Region_Name,N_Datasets,Datasets,Total_Count,Mean_Count,Max_Count,Rank
112,"A35/36c, caudal area 35/36,Right",2,"adhd200_adhd, cmihbn_adhd",988,494.0,494,1
149,"A5m, medial area 5(PEm),Left",2,"adhd200_adhd, cmihbn_adhd",987,493.5,495,2
111,"A35/36c, caudal area 35/36,Left",2,"adhd200_adhd, cmihbn_adhd",981,490.5,494,3
242,"Otha, occipital thalamus,Right",2,"adhd200_adhd, cmihbn_adhd",980,490.0,497,4
32,"IFS, inferior frontal sulcus,Right",2,"adhd200_adhd, cmihbn_adhd",977,488.5,494,5
24,"A8vl, ventrolateral area 8,Right",2,"adhd200_adhd, cmihbn_adhd",976,488.0,500,6
94,"A20r, rostral area 20,Right",2,"adhd200_adhd, cmihbn_adhd",972,486.0,491,7
115,"A28/34, area 28/34 (EC, entorhinal cortex),Left",2,"adhd200_adhd, cmihbn_adhd",971,485.5,492,8
54,"A4hf, area 4(head and face region),Right",2,"adhd200_adhd, cmihbn_adhd",966,483.0,485,9
84,"A21r, rostral area 21,Right",2,"adhd200_adhd, cmihbn_adhd",960,480.0,487,10
17,"IFJ, inferior frontal junction,Left",2,"adhd200_adhd, cmihbn_adhd",958,479.0,492,11
109,"A35/36r, rostral area 35/36,Left",2,"adhd200_adhd, cmihbn_adhd",958,479.0,485,12
45,"A11l, lateral area 11,Left",2,"adhd200_adhd, cmihbn_adhd",957,478.5,491,13
227,"dCa, dorsal caudate,Left",2,"adhd200_adhd, cmihbn_adhd",956,478.0,491,14
138,"A39rd, rostrodorsal area 39(Hip3),Right",2,"adhd200_adhd, cmihbn_adhd",947,473.5,485,15
116,"A28/34, area 28/34 (EC, entorhinal cortex),Right",2,"adhd200_adhd, cmihbn_adhd",938,469.0,470,16
211,"mAmyg, medial amygdala,Left",2,"adhd200_adhd, cmihbn_adhd",932,466.0,482,17
241,"Otha, occipital thalamus,Left",2,"adhd200_adhd, cmihbn_adhd",926,463.0,498,18
135,"A39c, caudal area 39(PGp),Left",2,"adhd200_adhd, cmihbn_adhd",925,462.5,472,19
60,"A4t, area 4(trunk region),Right",2,"adhd200_adhd, cmihbn_adhd",923,461.5,465,20
92,"A37elv, extreme lateroventral area37,Right",2,"adhd200_adhd, cmihbn_adhd",918,459.0,484,21
230,"dlPu, dorsolateral putamen,Right",2,"adhd200_adhd, cmihbn_adhd",915,457.5,466,22
78,"A38l, lateral area 38,Right",2,"adhd200_adhd, cmihbn_adhd",914,457.0,472,23
6,"A9l, lateral area 9,Right",2,"adhd200_adhd, cmihbn_adhd",875,437.5,491,24
151,"dmPOS, dorsomedial parietooccipital  sulcus(PEr) ,Left",2,"adhd200_adhd, cmihbn_adhd",870,435.0,436,25
228,"dCa, dorsal caudate,Right",2,"adhd200_adhd, cmihbn_adhd",861,430.5,458,26
57,"A4ul, area 4(upper limb region),Left",2,"adhd200_adhd, cmihbn_adhd",860,430.0,443,27
212,"mAmyg, medial amygdala,Right",2,"adhd200_adhd, cmihbn_adhd",854,427.0,440,28
238,"rTtha, rostral temporal thalamus,Right",2,"adhd200_adhd, cmihbn_adhd",854,427.0,434,29
139,"A40rd, rostrodorsal area 40(PFt),Left",2,"adhd200_adhd, cmihbn_adhd",842,421.0,438,30
222,"GP, globus pallidus,Right",2,"adhd200_adhd, cmihbn_adhd",838,419.0,430,31
160,"A2, area 2,Right",2,"adhd200_adhd, cmihbn_adhd",829,414.5,437,32
130,"A5l, lateral area 5,Right",2,"adhd200_adhd, cmihbn_adhd",822,411.0,428,33
34,"A45c, caudal area 45,Right",2,"adhd200_adhd, cmihbn_adhd",805,402.5,421,34
