ROI_Index,Region_Name,N_Datasets,Datasets,Total_Count,Mean_Count,Max_Count,Rank
24,"A8vl, ventrolateral area 8,Right",8,"hcp_dev, nki_cog_dev, adhd200_adhd, adhd200_td, cmihbn_adhd, cmihbn_td, abide_asd, stanford_asd",3943,492.875,500,1
149,"A5m, medial area 5(PEm),Left",8,"hcp_dev, nki_cog_dev, adhd200_adhd, adhd200_td, cmihbn_adhd, cmihbn_td, abide_asd, stanford_asd",3936,492.0,497,2
112,"A35/36c, caudal area 35/36,Right",8,"hcp_dev, nki_cog_dev, adhd200_adhd, adhd200_td, cmihbn_adhd, cmihbn_td, abide_asd, stanford_asd",3923,490.375,496,3
32,"IFS, inferior frontal sulcus,Right",8,"hcp_dev, nki_cog_dev, adhd200_adhd, adhd200_td, cmihbn_adhd, cmihbn_td, abide_asd, stanford_asd",3922,490.25,499,4
17,"IFJ, inferior frontal junction,Left",8,"hcp_dev, nki_cog_dev, adhd200_adhd, adhd200_td, cmihbn_adhd, cmihbn_td, abide_asd, stanford_asd",3908,488.5,499,5
111,"A35/36c, caudal area 35/36,Left",8,"hcp_dev, nki_cog_dev, adhd200_adhd, adhd200_td, cmihbn_adhd, cmihbn_td, abide_asd, stanford_asd",3868,483.5,494,6
227,"dCa, dorsal caudate,Left",8,"hcp_dev, nki_cog_dev, adhd200_adhd, adhd200_td, cmihbn_adhd, cmihbn_td, abide_asd, stanford_asd",3842,480.25,499,7
242,"Otha, occipital thalamus,Right",8,"hcp_dev, nki_cog_dev, adhd200_adhd, adhd200_td, cmihbn_adhd, cmihbn_td, abide_asd, stanford_asd",3811,476.375,498,8
241,"Otha, occipital thalamus,Left",8,"hcp_dev, nki_cog_dev, adhd200_adhd, adhd200_td, cmihbn_adhd, cmihbn_td, abide_asd, stanford_asd",3794,474.25,498,9
92,"A37elv, extreme lateroventral area37,Right",8,"hcp_dev, nki_cog_dev, adhd200_adhd, adhd200_td, cmihbn_adhd, cmihbn_td, abide_asd, stanford_asd",3790,473.75,494,10
