Brain Regions,Subdivision,(ID) Region Label,Count
Prefrontal Cortex,"IFS, inferior frontal sulcus","(32), IFG_R_6_2",496
Prefrontal Cortex,"A8vl, ventrolateral area 8","(24), MFG_R_7_5",496
"PCC, Precuneus","A5m, medial area 5(PEm)","(149), Pcun_L_4_2",490
"PCC, Precuneus","dmPOS, dorsomeidal parietooccipital  sulcus(PEr) ","(151), Pcun_L_4_3",489
Inferior Parietal Lobe,"A39rd, rostrodorsal area 39(Hip3)","(138), IPL_R_6_2",485
Prefrontal Cortex,"A9l, lateral area 9","(6), SFG_R_7_3",483
Striatum,"dCa, dorsal caudate","(227), Str_L_6_5",482
Prefrontal Cortex,"A9l, lateral area 9","(5), SFG_L_7_3",480
Prefrontal Cortex,"IFJ, inferior frontal junction","(17), MFG_L_7_2",479
Middle Temporal Gyrus,"A35/36c, caudal area 35/36","(111), PhG_L_6_2",478
Inferior Parietal Lobe,"A39c, caudal area 39(PGp)","(135), IPL_L_6_1",475
Middle Temporal Gyrus,"A35/36c, caudal area 35/36","(112), PhG_R_6_2",468
Middle Temporal Gyrus,"A28/34, area 28/34 (EC, entorhinal cortex)","(116), PhG_R_6_4",467
Prefrontal Cortex,"A9m,medial area 9","(12), SFG_R_7_6",454
"PCC, Precuneus","dmPOS, dorsomeidal parietooccipital  sulcus(PEr) ","(152), Pcun_R_4_3",451
Inferior Temporal Gyrus,"A37vm, ventromedial area37","(92), ITG_R_7_2",448
Prefrontal Cortex,"A9m,medial area 9","(11), SFG_L_7_6",440
Thalamus,"Otha, occipital thalamus","(242), Tha_R_8_6",437
Prefrontal Cortex,"IFJ, inferior frontal junction","(18), MFG_R_7_2",436
"PCC, Precuneus","A7m, medial area 7(PEp)","(147), Pcun_L_4_1",434
Striatum,"dlPu, dorsolateral putamen","(230), Str_R_6_6",427
Superior Parietal Lobule,"A7ip, intraparietal area 7(hIP3)","(126), SPL_R_5_1",425
Middle Temporal Gyrus,"A35/36r, rostral area 35/36","(109), PhG_L_6_1",423
Prefrontal Cortex,"A11l, lateral area 11","(45), OrG_L_6_3",416
Striatum,"dCa, dorsal caudate","(228), Str_R_6_5",412
Thalamus,"Otha, occipital thalamus","(241), Tha_L_8_6",410
Prefrontal Cortex,"A45c, caudal area 45","(34), IFG_R_6_3",406
"PCC, Precuneus","A5m, medial area 5(PEm)","(150), Pcun_R_4_2",404
Superior Temporal Gyrus,"A38l, lateral area 38","(78), STG_R_6_5",403
Middle Temporal Gyrus,"A21r, rostral area 21","(84), MTG_R_4_2",400
"PCC, Precuneus","cLinG, caudal lingual gyrus","(190), Cun_R_5_1",398
