ROI_Index,Region_Name,N_Datasets,Datasets,Total_Count,Mean_Count,Max_Count,Rank
17,"IFJ, inferior frontal junction,Left",3,"nki_cog_dev, adhd200_td, cmihbn_td",1486,495.3333333333333,497,1
112,"A35/36c, caudal area 35/36,Right",3,"nki_cog_dev, adhd200_td, cmihbn_td",1485,495.0,496,2
24,"A8vl, ventrolateral area 8,Right",3,"nki_cog_dev, adhd200_td, cmihbn_td",1476,492.0,498,3
241,"Otha, occipital thalamus,Left",3,"nki_cog_dev, adhd200_td, cmihbn_td",1471,490.3333333333333,494,4
149,"A5m, medial area 5(PEm),Left",3,"nki_cog_dev, adhd200_td, cmihbn_td",1469,489.6666666666667,493,5
32,"IFS, inferior frontal sulcus,Right",3,"nki_cog_dev, adhd200_td, cmihbn_td",1455,485.0,494,6
5,"A9l, lateral area 9,Left",3,"nki_cog_dev, adhd200_td, cmihbn_td",1454,484.6666666666667,496,7
92,"A37elv, extreme lateroventral area37,Right",3,"nki_cog_dev, adhd200_td, cmihbn_td",1450,483.3333333333333,492,8
54,"A4hf, area 4(head and face region),Right",3,"nki_cog_dev, adhd200_td, cmihbn_td",1447,482.3333333333333,487,9
6,"A9l, lateral area 9,Right",3,"nki_cog_dev, adhd200_td, cmihbn_td",1444,481.3333333333333,492,10
115,"A28/34, area 28/34 (EC, entorhinal cortex),Left",3,"nki_cog_dev, adhd200_td, cmihbn_td",1443,481.0,489,11
227,"dCa, dorsal caudate,Left",3,"nki_cog_dev, adhd200_td, cmihbn_td",1443,481.0,499,12
111,"A35/36c, caudal area 35/36,Left",3,"nki_cog_dev, adhd200_td, cmihbn_td",1438,479.3333333333333,490,13
94,"A20r, rostral area 20,Right",3,"nki_cog_dev, adhd200_td, cmihbn_td",1434,478.0,491,14
109,"A35/36r, rostral area 35/36,Left",3,"nki_cog_dev, adhd200_td, cmihbn_td",1425,475.0,490,15
242,"Otha, occipital thalamus,Right",3,"nki_cog_dev, adhd200_td, cmihbn_td",1424,474.6666666666667,498,16
135,"A39c, caudal area 39(PGp),Left",3,"nki_cog_dev, adhd200_td, cmihbn_td",1417,472.3333333333333,491,17
12,"A9m,medial area 9,Right",3,"nki_cog_dev, adhd200_td, cmihbn_td",1399,466.3333333333333,486,18
116,"A28/34, area 28/34 (EC, entorhinal cortex),Right",3,"nki_cog_dev, adhd200_td, cmihbn_td",1385,461.6666666666667,475,19
45,"A11l, lateral area 11,Left",3,"nki_cog_dev, adhd200_td, cmihbn_td",1377,459.0,480,20
138,"A39rd, rostrodorsal area 39(Hip3),Right",3,"nki_cog_dev, adhd200_td, cmihbn_td",1377,459.0,467,21
78,"A38l, lateral area 38,Right",3,"nki_cog_dev, adhd200_td, cmihbn_td",1367,455.6666666666667,484,22
182,"A23v, ventral area 23,Right",3,"nki_cog_dev, adhd200_td, cmihbn_td",1356,452.0,456,23
238,"rTtha, rostral temporal thalamus,Right",3,"nki_cog_dev, adhd200_td, cmihbn_td",1349,449.6666666666667,468,24
96,"A20il, intermediate lateral area 20,Right",3,"nki_cog_dev, adhd200_td, cmihbn_td",1316,438.6666666666667,470,25
181,"A23v, ventral area 23,Left",3,"nki_cog_dev, adhd200_td, cmihbn_td",1308,436.0,461,26
60,"A4t, area 4(trunk region),Right",3,"nki_cog_dev, adhd200_td, cmihbn_td",1307,435.6666666666667,441,27
228,"dCa, dorsal caudate,Right",3,"nki_cog_dev, adhd200_td, cmihbn_td",1307,435.6666666666667,460,28
211,"mAmyg, medial amygdala,Left",3,"nki_cog_dev, adhd200_td, cmihbn_td",1302,434.0,460,29
34,"A45c, caudal area 45,Right",3,"nki_cog_dev, adhd200_td, cmihbn_td",1299,433.0,474,30
126,"A7r, rostral area 7,Right",3,"nki_cog_dev, adhd200_td, cmihbn_td",1282,427.3333333333333,444,31
84,"A21r, rostral area 21,Right",2,"adhd200_td, cmihbn_td",979,489.5,491,32
93,"A20r, rostral area 20,Left",2,"adhd200_td, cmihbn_td",925,462.5,466,33
13,"A10m, medial area 10,Left",2,"nki_cog_dev, cmihbn_td",907,453.5,457,34
151,"dmPOS, dorsomedial parietooccipital  sulcus(PEr) ,Left",2,"adhd200_td, cmihbn_td",899,449.5,451,35
230,"dlPu, dorsolateral putamen,Right",2,"nki_cog_dev, cmihbn_td",899,449.5,479,36
212,"mAmyg, medial amygdala,Right",2,"nki_cog_dev, adhd200_td",892,446.0,458,37
11,"A9m,medial area 9,Left",2,"nki_cog_dev, adhd200_td",866,433.0,462,38
240,"PPtha, posterior parietal thalamus,Right",2,"nki_cog_dev, cmihbn_td",864,432.0,457,39
222,"GP, globus pallidus,Right",2,"nki_cog_dev, adhd200_td",858,429.0,445,40
139,"A40rd, rostrodorsal area 40(PFt),Left",2,"nki_cog_dev, adhd200_td",854,427.0,454,41
229,"dlPu, dorsolateral putamen,Left",2,"nki_cog_dev, cmihbn_td",846,423.0,447,42
69,"A38m, medial area 38,Left",2,"adhd200_td, cmihbn_td",843,421.5,428,43
160,"A2, area 2,Right",2,"adhd200_td, cmihbn_td",840,420.0,426,44
30,"A44d,dorsal area 44,Right",2,"nki_cog_dev, cmihbn_td",820,410.0,420,45
59,"A4t, area 4(trunk region),Left",2,"nki_cog_dev, cmihbn_td",812,406.0,422,46
19,"A46, area 46,Left",2,"nki_cog_dev, adhd200_td",809,404.5,413,47
57,"A4ul, area 4(upper limb region),Left",2,"nki_cog_dev, cmihbn_td",804,402.0,410,48
