Brain Regions,Subdivision,(ID) Region Label,Count
"A8m, medial area 8,Right","IFJ, inferior frontal junction","(17), MFG_L_7_2",499
"A8m, medial area 8,Right","IFS, inferior frontal sulcus","(32), IFG_R_6_2",499
"A8m, medial area 8,Right","A39rd, rostrodorsal area 39(Hip3)","(138), IPL_R_6_2",499
"A9l, lateral area 9,Left","A8vl, ventrolateral area 8","(24), MFG_R_7_5",498
"A8m, medial area 8,Left","A4hf, area 4(head and face region)","(54), PrG_R_6_1",498
"A8dl, dorsolateral area 8,Left","A9l, lateral area 9","(6), SFG_R_7_3",494
"A8m, medial area 8,Right","A37vm, ventromedial area37","(92), ITG_R_7_2",494
"A8dl, dorsolateral area 8,Right","A28/34, area 28/34 (EC, entorhinal cortex)","(116), PhG_R_6_4",491
"A9l, lateral area 9,Right","Otha, occipital thalamus","(241), Tha_L_8_6",491
"A9l, lateral area 9,Right","Otha, occipital thalamus","(242), Tha_R_8_6",491
"A9l, lateral area 9,Left","A38l, lateral area 38","(78), STG_R_6_5",490
"A8m, medial area 8,Right","A5m, medial area 5(PEm)","(149), Pcun_L_4_2",490
"A8dl, dorsolateral area 8,Left","dmPOS, dorsomeidal parietooccipital  sulcus(PEr) ","(152), Pcun_R_4_3",490
"A8dl, dorsolateral area 8,Left","dmPOS, dorsomeidal parietooccipital  sulcus(PEr) ","(151), Pcun_L_4_3",489
"A8m, medial area 8,Right","IFJ, inferior frontal junction","(18), MFG_R_7_2",487
"A8dl, dorsolateral area 8,Left","A45c, caudal area 45","(34), IFG_R_6_3",486
"A9l, lateral area 9,Right","dlPu, dorsolateral putamen","(230), Str_R_6_6",486
"A8m, medial area 8,Left","A44d,dorsal area 44","(30), IFG_R_6_1",484
"A8m, medial area 8,Right","A4ll, area 4, (lower limb region)","(67), PCL_L_2_2",482
"A9l, lateral area 9,Left","dCa, dorsal caudate","(227), Str_L_6_5",482
"A8dl, dorsolateral area 8,Left","A9l, lateral area 9","(5), SFG_L_7_3",481
"A8dl, dorsolateral area 8,Right","rTtha, rostral Temporal thalamus","(238), Tha_R_8_4",481
"A8m, medial area 8,Right","A35/36c, caudal area 35/36","(111), PhG_L_6_2",478
"A8m, medial area 8,Left","A7ip, intraparietal area 7(hIP3)","(126), SPL_R_5_1",476
"A8m, medial area 8,Left","A39c, caudal area 39(PGp)","(135), IPL_L_6_1",475
"A8dl, dorsolateral area 8,Right","A23v, ventral area 23","(182), CG_R_7_4",474
"A8m, medial area 8,Right","A21r, rostral area 21","(84), MTG_R_4_2",470
"A8m, medial area 8,Right","A35/36c, caudal area 35/36","(112), PhG_R_6_2",468
"A8m, medial area 8,Left","msOccG, medial superior occipital gyrus","(208), sOcG_R_2_1",468
"A8m, medial area 8,Left","cLinG, caudal lingual gyrus","(190), Cun_R_5_1",466
"A8dl, dorsolateral area 8,Right","A23v, ventral area 23","(181), CG_L_7_4",465
"A8dl, dorsolateral area 8,Right","A4t, area 4(trunk region)","(59), PrG_L_6_4",461
"A9l, lateral area 9,Right","A9m,medial area 9","(12), SFG_R_7_6",454
"A9l, lateral area 9,Right","dlPu, dorsolateral putamen","(229), Str_L_6_6",450
"A8m, medial area 8,Left","A35/36r, rostral area 35/36","(109), PhG_L_6_1",449
"A8m, medial area 8,Left","A7m, medial area 7(PEp)","(147), Pcun_L_4_1",448
"A8dl, dorsolateral area 8,Right","A31, area 31 (Lc1)","(153), Pcun_L_4_4",446
"A8dl, dorsolateral area 8,Left","A2, area 2","(160), PoG_R_4_3",446
"A8dl, dorsolateral area 8,Left","A7pc, postcentral area 7","(130), SPL_R_5_3",444
"A8m, medial area 8,Left","A7m, medial area 7(PEp)","(148), Pcun_R_4_1",444
"A8dl, dorsolateral area 8,Right","A4t, area 4(trunk region)","(60), PrG_R_6_4",442
"A9l, lateral area 9,Right","A9m,medial area 9","(11), SFG_L_7_6",441
"A9l, lateral area 9,Left","dCa, dorsal caudate","(228), Str_R_6_5",439
"A8m, medial area 8,Left","msOccG, medial superior occipital gyrus","(207), sOcG_L_2_1",439
"A8dl, dorsolateral area 8,Right","A31, area 31 (Lc1)","(154), Pcun_R_4_4",437
"A8m, medial area 8,Right","A5m, medial area 5(PEm)","(150), Pcun_R_4_2",425
"A8dl, dorsolateral area 8,Right","rLinG, rostral lingual gyrus","(195), Cun_L_5_4",425
"A8dl, dorsolateral area 8,Left","A11l, lateral area 11","(45), OrG_L_6_3",416
"A8dl, dorsolateral area 8,Left","A46, area 46","(19), MFG_L_7_3",409
"A9l, lateral area 9,Left","PPtha, posterior parietal thalamus","(240), Tha_R_8_5",409
