ROI_Index,Region_Name,Count,Rank
17,"IFJ, inferior frontal junction,Left",499,1
32,"IFS, inferior frontal sulcus,Right",499,2
138,"A39rd, rostrodorsal area 39(Hip3),Right",499,3
24,"A8vl, ventrolateral area 8,Right",498,4
54,"A4hf, area 4(head and face region),Right",498,5
6,"A9l, lateral area 9,Right",494,6
92,"A37elv, extreme lateroventral area37,Right",494,7
116,"A28/34, area 28/34 (EC, entorhinal cortex),Right",491,8
241,"Otha, occipital thalamus,Left",491,9
242,"Otha, occipital thalamus,Right",491,10
78,"A38l, lateral area 38,Right",490,11
149,"A5m, medial area 5(PEm),Left",490,12
152,"dmPOS, dorsomedial parietooccipital  sulcus(PEr) ,Right",490,13
151,"dmPOS, dorsomedial parietooccipital  sulcus(PEr) ,Left",489,14
18,"IFJ, inferior frontal junction,Right",487,15
34,"A45c, caudal area 45,Right",486,16
230,"dlPu, dorsolateral putamen,Right",486,17
30,"A44d,dorsal area 44,Right",484,18
67,"A4ll, area 4, (lower limb region),Left",482,19
227,"dCa, dorsal caudate,Left",482,20
5,"A9l, lateral area 9,Left",481,21
238,"rTtha, rostral temporal thalamus,Right",481,22
111,"A35/36c, caudal area 35/36,Left",478,23
126,"A7r, rostral area 7,Right",476,24
135,"A39c, caudal area 39(PGp),Left",475,25
182,"A23v, ventral area 23,Right",474,26
84,"A21r, rostral area 21,Right",470,27
112,"A35/36c, caudal area 35/36,Right",468,28
208,"msOccG, medial superior occipital gyrus,Right",468,29
190,"cLinG, caudal lingual gyrus,Right",466,30
181,"A23v, ventral area 23,Left",465,31
59,"A4t, area 4(trunk region),Left",461,32
12,"A9m,medial area 9,Right",454,33
229,"dlPu, dorsolateral putamen,Left",450,34
109,"A35/36r, rostral area 35/36,Left",449,35
147,"A7m, medial area 7(PEp),Left",448,36
153,"A31, area 31 (Lc1),Left",446,37
160,"A2, area 2,Right",446,38
130,"A5l, lateral area 5,Right",444,39
148,"A7m, medial area 7(PEp),Right",444,40
60,"A4t, area 4(trunk region),Right",442,41
11,"A9m,medial area 9,Left",441,42
228,"dCa, dorsal caudate,Right",439,43
207,"msOccG, medial superior occipital gyrus,Left",439,44
154,"A31, area 31 (Lc1),Right",437,45
150,"A5m, medial area 5(PEm),Right",425,46
195,"rLinG, rostral lingual gyrus,Left",425,47
45,"A11l, lateral area 11,Left",416,48
19,"A46, area 46,Left",409,49
240,"PPtha, posterior parietal thalamus,Right",409,50
