Brain_Region,Loading
"A38m, medial area 38,Left",0.21438943865054302
"A37vl, ventrolateral area 37,Left",0.18340750651711402
"cpSTS, caudoposterior superior temporal sulcus,Left",0.17379822449359894
"V5/MT+, area V5/MT+,Left",0.17216962434093228
"mPFtha, medial pre-frontal thalamus,Left",0.1696760241861433
"A37mv, medioventral area37,Left",0.16909965446086148
"A21r, rostral area 21,Left",0.15031213801022658
"A20iv, intermediate ventral area 20,Left",0.14600202053985545
"A40rv, rostroventral area 40(PFop),Left",0.1374503412959028
"A8dl, dorsolateral area 8,Left",0.13145890681031847
