PC,Importance,Rank
PC1,0.08207511403240861,9
PC2,0.014860864983992708,23
PC3,0.03640576333040454,18
PC4,0.13765346191806738,3
PC5,0.17386686296904014,2
PC6,0.06751085698357176,12
PC7,0.11483556317750356,6
PC8,0.022570268731189468,21
PC9,0.03784044771628406,17
PC10,0.03044475725712347,19
PC11,0.01832911706359805,22
PC12,0.05884321967516608,13
PC13,0.1258620229762799,5
PC14,0.022606780579455265,20
PC15,0.19512222914187766,1
PC16,0.04667117021034578,15
PC17,0.07858938001422622,10
PC18,0.039095144131687756,16
PC19,0.09007821511543701,8
PC20,0.10004425226435927,7
PC21,0.07616442904363646,11
PC22,0.05069071140788441,14
PC23,0.13248657682559628,4
