PC,Importance,Rank
PC1,0.13857999127727724,8
PC2,0.04624389119147333,19
PC3,0.013763159364823238,22
PC4,0.10291621606875213,10
PC5,0.05965880441685943,17
PC6,0.09414807756014262,11
PC7,0.086224799692317,13
PC8,0.19302246563055167,5
PC9,0.08205060317676564,15
PC10,0.041927939116659,20
PC11,0.08235861494353013,14
PC12,0.047249626303263625,18
PC13,0.297653022039635,2
PC14,0.22973331504567512,3
PC15,0.18948497779866094,6
PC16,0.022102661809669764,21
PC17,0.0015034470168898,23
PC18,0.08697374080773734,12
PC19,0.2142298919636267,4
PC20,0.15897339006940012,7
PC21,0.06026005448783198,16
PC22,0.3723875646846784,1
PC23,0.1272027040246845,9
