PC,Importance,Rank
PC1,0.22363870386780618,7
PC2,0.0491205457275978,21
PC3,0.041079873409744186,22
PC4,0.23814206910598829,6
PC5,0.0869300182120481,15
PC6,0.16289332272931029,11
PC7,0.18579561679457202,9
PC8,0.1783739253043758,10
PC9,0.06125008670246871,16
PC10,0.038501372355569025,23
PC11,0.06027996580258607,17
PC12,0.0992549833221873,14
PC13,0.4283946956668623,2
PC14,0.21320469116891597,8
PC15,0.3805244438208682,3
PC16,0.11653652560087657,13
PC17,0.05031287746736268,20
PC18,0.05219952256086695,19
PC19,0.27626895321391287,4
PC20,0.05262702962484056,18
PC21,0.1304606148404241,12
PC22,0.43494256576473367,1
PC23,0.2674779709185327,5
