Brain_Region,Loading
"A9/46d, dorsal area 9/46,Left",0.33654209503863
"A8m, medial area 8,Left",0.24091809271263803
"A6dl, dorsolateral area 6,Left",0.22677716616622492
"A9l, lateral area 9,Right",0.2001547535945611
"A6m, medial area 6,Right",0.19492771114609647
"A6dl, dorsolateral area 6,Right",0.16636658672505553
"A9m,medial area 9,Right",0.15728419011640532
"dIg, dorsal granular insula,Left",0.15577656346108687
"A10m, medial area 10,Left",0.15164440326901246
"A8dl, dorsolateral area 8,Left",0.14771331242179847
