Brain_Region,Loading
"A6m, medial area 6,Right",0.24735594507064765
"A1/2/3ll, area1/2/3 (lower limb region),Left",0.18784114208202685
"dlPu, dorsolateral putamen,Right",0.18710915435311687
"A9m,medial area 9,Left",0.18187829470575043
"A8vl, ventrolateral area 8,Left",0.17775600812478765
"mOccG, middle occipital gyrus,Left",0.16570044863913702
"A9m,medial area 9,Right",0.15356549631203684
"A41/42, area 41/42,Left",0.14658635119392846
"A10m, medial area 10,Left",0.13648098771339962
"rTtha, rostral temporal thalamus,Right",0.1355508275973995
