,PC1,PC2,PC3
"IFJ, inferior frontal junct...",0.33498242304297704,-0.09939085684039699,-0.07363017029828571
"dmPOS, dorsomedial parietoo...",-0.02125794035741765,0.20653481739092647,0.26445836363266656
"A21r, rostral area 21,Right",-0.24920130306893673,0.04922475247427609,-0.05007772945882441
"Otha, occipital thalamus,Left",0.2194085429351926,0.08291671516452959,-0.24613529567343342
"A8vl, ventrolateral area 8,...",0.24551153246497154,0.07985263653503288,-0.0015485928279011844
"dCa, dorsal caudate,Left",-0.08249366528656193,0.22515382190314026,-0.12806945274341947
"Stha, sensory thalamus,Right",-0.04171239311815447,-0.209903062186691,-0.2202171994300359
"Otha, occipital thalamus,Right",0.0029696745221273065,0.2133234915949379,-0.0941822126192593
"A11l, lateral area 11,Left",-0.13083322619948926,-0.19128932217132086,-0.004318984402104764
"IFS, inferior frontal sulcu...",0.17930147110496303,0.1663130230411935,0.01026208366606047
"A1/2/3tru, area1/2/3(trunk ...",0.04550177103141648,0.16760222903438426,-0.06403589285072678
"IFJ, inferior frontal junct...",0.14739695714375245,0.16587704486523921,0.08606743470367892
"A9m,medial area 9,Right",0.09455411417193535,-0.16095308530934072,-0.03291433598113814
"dmPOS, dorsomedial parietoo...",-0.07964750503673143,0.15878262007110835,0.08414091733972653
"A38m, medial area 38,Right",-0.1566223930323543,-0.0560839494086379,0.08407392672640332
