Brain_Region,Loading
"TE1.0 and TE1.2,Right",0.16550701549938257
"A6vl, ventrolateral area 6,Left",0.15579695320807413
"A21c, caudal area 21,Right",0.1518346460814137
"A40rv, rostroventral area 40(PFop),Right",0.14957624105873735
"mPFtha, medial pre-frontal thalamus,Left",0.14843135244011527
"cpSTS, caudoposterior superior temporal sulcus,Right",0.14172915636837358
"A7pc, postcentral area 7,Right",0.14114945202937254
"A6dl, dorsolateral area 6,Right",0.1410032156016889
"OPC, occipital polar cortex,Right",0.14071522309894152
"TI, area TI(temporal agranular insular cortex),Left",0.13873162911120582
