PC,Importance,Rank
PC1,0.07400079788436394,26
PC2,0.18627073604057443,14
PC3,0.07892248635047294,23
PC4,0.03672436395614039,29
PC5,0.18473017455185226,15
PC6,0.13687815290410096,18
PC7,0.19036153969646333,13
PC8,0.047016342286917576,28
PC9,0.10272931155455163,21
PC10,0.10549809131226012,20
PC11,0.18283694351944793,16
PC12,0.3098047049729046,8
PC13,0.07621101968641496,25
PC14,0.3834878890668464,6
PC15,0.0629113219503485,27
PC16,0.0071544280844765655,30
PC17,0.12108544534302136,19
PC18,0.2072682192376122,11
PC19,0.4171174966105118,4
PC20,0.3605669284272942,7
PC21,0.21019154664726797,10
PC22,0.38352481930861465,5
PC23,0.25404204085471804,9
PC24,0.07689957407212024,24
PC25,0.4337573918491865,3
PC26,0.1417209864253108,17
PC27,0.2001810680328468,12
PC28,0.5693785416776389,2
PC29,0.09378747722204267,22
PC30,0.5993573151352195,1
