PC,Importance,Rank
PC1,0.031843670187302886,28
PC2,0.1325360516616231,18
PC3,0.12251397003712827,20
PC4,0.27353540940435506,9
PC5,0.08072905239446443,25
PC6,0.20885088450443845,12
PC7,0.3025466750099006,8
PC8,0.13603911063694193,16
PC9,0.11145315707244756,22
PC10,0.046832258221240444,26
PC11,0.014397667045093826,30
PC12,0.12546411508871363,19
PC13,0.49788852209569545,5
PC14,0.10993112780669616,23
PC15,0.1811783828696523,14
PC16,0.019250275160770568,29
PC17,0.22915306286932818,11
PC18,0.5429223743363351,4
PC19,0.2478759423570381,10
PC20,0.13396216726703222,17
PC21,0.3652141570613623,7
PC22,0.1132204543665868,21
PC23,0.04613759674927337,27
PC24,0.1956288061177586,13
PC25,0.8279355888462262,1
PC26,0.09526233293295132,24
PC27,0.3987016283115955,6
PC28,0.6695097853051055,2
PC29,0.13980912334194068,15
PC30,0.5621140095131143,3
