Brain_Region,Loading
"A41/42, area 41/42,Right",0.457797830461347
"A9m,medial area 9,Right",0.2782735152245217
"A8vl, ventrolateral area 8,Right",0.20232293863637618
"A8dl, dorsolateral area 8,Left",0.1678758063841241
"A12/47l, lateral area 12/47,Left",0.15622478601154136
"A12/47o, orbital area 12/47,Left",0.14697204733399724
"A11l, lateral area 11,Right",0.1320270803850677
"A10l, lateral area10,Left",0.1291988126933779
"A4t, area 4(trunk region),Right",0.12388568497777991
"A1/2/3ll, area1/2/3 (lower limb region),Left",0.12361315346373968
