,PC1,PC2,PC3
"IFJ, inferior frontal junct...",0.3343773865790363,0.06272397697400219,-0.12763886844259667
"A5m, medial area 5(PEm),Left",-0.02275070946839852,0.33191780624960254,-0.048040348012450315
"Otha, occipital thalamus,Left",-0.017907417316576926,-0.23841741969617675,0.14447495109709385
"A9l, lateral area 9,Left",0.10241169253514851,-0.15855105636516645,0.22535529237807292
"IFJ, inferior frontal junct...",0.22173155157407642,0.14276768979754068,0.06376979247296019
"A35/36c, caudal area 35/36,...",-0.05211598313473835,0.21512220980587163,0.05765063239026423
"A4ll, area 4, (lower limb r...",-0.04461094280189331,0.04247080055813163,0.20804333296866817
"A9m,medial area 9,Right",0.1913545019670262,-0.021633900549932424,0.017594209065390137
"A11l, lateral area 11,Right",-0.18924906074860398,-0.08244449105731108,-0.003319656986573519
"A4t, area 4(trunk region),Left",0.005909746125275488,0.03643723991564225,0.18897277490340297
"A8vl, ventrolateral area 8,...",0.17646279944152116,0.11107541926511298,-0.18698450555373844
"A23c, caudal area 23,Left",-0.11109219380565175,0.03844095925775049,0.18613071917936666
"A44d,dorsal area 44,Left",0.17869001406674023,0.04383842272371122,-0.08477598039724839
"A4hf, area 4(head and face ...",-0.1760860244181549,0.0330730683608583,0.11956296849183101
"A4t, area 4(trunk region),R...",-0.00455381094906274,0.07136463837184977,0.16579555109043284
