Brain_Region,Loading
"A10m, medial area 10,Right",0.3786051252852445
"A9/46v, ventral area 9/46 ,Right",0.24970425328015322
"A45r, rostral area 45,Left",0.2405323823998612
"A45c, caudal area 45,Left",0.1962810734845611
"A9/46d, dorsal area 9/46,Right",0.19421727537113115
"A8vl, ventrolateral area 8,Left",0.17185232245198828
"A39rd, rostrodorsal area 39(Hip3),Right",0.16009065051553364
"msOccG, medial superior occipital gyrus,Right",0.14128121884903933
"IFJ, inferior frontal junction,Left",0.1345713758007832
"IFS, inferior frontal sulcus,Right",0.1273257257973259
