Component,Correlation_r,P_value,P_value_corrected,Significant
PC1,0.13137494398969862,0.2423745650843852,1.0,False
PC2,0.10534786889290496,0.3492720746428785,1.0,False
PC3,0.021100139942948418,0.8516838038316661,1.0,False
PC4,-0.1136060885443499,0.31257345578411505,1.0,False
PC5,-0.03405533151113081,0.7627879883749222,1.0,False
PC6,-0.007209029573095483,0.9490708390297816,1.0,False
PC7,0.2065334581540641,0.0643265943665338,1.0,False
PC8,-0.07540219514841708,0.5034792413916794,1.0,False
PC9,0.03992392024028487,0.7234350756554361,1.0,False
PC10,-0.003585242055127731,0.9746588604864944,1.0,False
