Component,Correlation_r,P_value,P_value_corrected,Significant
PC1,0.15540919342012777,0.1659373826273785,1.0,False
PC2,-0.09099290720400562,0.4191565066063127,1.0,False
PC3,-0.016268891271302065,0.8853790575071652,1.0,False
PC4,0.03178435650456719,0.7781856621877277,1.0,False
PC5,0.040105424667742,0.7222287269826719,1.0,False
PC6,0.07504428276512905,0.5055128838045427,1.0,False
PC7,0.165230446229304,0.1404510011426749,1.0,False
PC8,-0.09086100819495983,0.41983384744186125,1.0,False
PC9,-0.0024554489572972717,0.9826429225144808,1.0,False
PC10,0.08823964449787455,0.4334256639532922,1.0,False
