Component,Correlation_r,P_value,P_value_corrected,Significant
PC1,0.17441371689295881,0.1194021550299398,1.0,False
PC2,-0.05239394598221932,0.6422640252426296,1.0,False
PC3,0.010590061427055486,0.9252427953763652,1.0,False
PC4,0.01072529053989512,0.9242909855968056,1.0,False
PC5,0.028558536503558142,0.8002036779376092,1.0,False
PC6,0.06746646879575258,0.5495443042636461,1.0,False
PC7,0.16952305452104743,0.13028793370887207,1.0,False
PC8,-0.11317144058326113,0.3144404777853493,1.0,False
PC9,0.008748352817088384,0.9382155499567925,1.0,False
PC10,0.07702716167877179,0.4942998176898776,1.0,False
