PC,Importance,Rank
PC1,0.18811165968588564,8
PC2,0.011735288036117059,17
PC3,0.26100023249279747,5
PC4,0.31592607271186046,2
PC5,0.4597498106597689,1
PC6,0.15340778885079642,10
PC7,0.011381977464758174,18
PC8,0.20464437542618963,6
PC9,0.09283475904484542,13
PC10,0.11161349583245923,12
PC11,0.18627934809270882,9
PC12,0.0037728605586419667,19
PC13,0.2949966179494376,4
PC14,0.1969055951860042,7
PC15,0.13782129932110945,11
PC16,0.05270429922932008,15
PC17,0.0711405328870424,14
PC18,0.30421285756723054,3
PC19,0.035113199016375884,16
