PC,Importance,Rank
PC1,0.04037306293256866,16
PC2,0.012121760706805096,19
PC3,0.08472107635421784,13
PC4,0.21532180250667088,6
PC5,0.13477567384446673,10
PC6,0.17097437668359639,9
PC7,0.023347529133594273,18
PC8,0.1198117951442883,12
PC9,0.3740909027702165,1
PC10,0.21051722953536922,7
PC11,0.35181564804267296,2
PC12,0.08418361319886726,14
PC13,0.2252505798308674,5
PC14,0.12121239326416355,11
PC15,0.05089184680076707,15
PC16,0.03237446792631321,17
PC17,0.2381223169970537,3
PC18,0.23568174795358537,4
PC19,0.17805034911821016,8
