PC,Importance,Rank
PC1,0.4552208158005163,7
PC2,0.14938921493810908,16
PC3,0.3201033453634767,10
PC4,0.9333279118750318,4
PC5,0.7549079301069272,5
PC6,0.408030690535845,8
PC7,0.2704512564336723,13
PC8,0.29315839711816577,11
PC9,0.4948390528038437,6
PC10,0.3201968902624426,9
PC11,1.1513408414245208,3
PC12,0.18626493167003927,14
PC13,0.09991234981724684,18
PC14,0.27089401525325757,12
PC15,1.5211653702806334,1
PC16,0.08431096534659675,19
PC17,0.1082788505701741,17
PC18,1.236049588554429,2
PC19,0.1551124808085497,15
