PC,Importance,Rank
PC1,0.17161012376849843,8
PC2,0.03329659770876306,17
PC3,0.11886750011078458,9
PC4,0.36616010360729767,4
PC5,0.26807336569050316,5
PC6,0.1930216791551566,7
PC7,0.08997259758259507,12
PC8,0.11510442215473983,11
PC9,0.21048135388910053,6
PC10,0.11573957770134938,10
PC11,0.3802564147722892,3
PC12,0.0082268390155993,19
PC13,0.05339882613236506,16
PC14,0.05829707306054436,15
PC15,0.5129864150935448,1
PC16,0.06891141040781887,14
PC17,0.012273213903516936,18
PC18,0.4358523475219047,2
PC19,0.07881932491880193,13
