PC,Importance,Rank
PC1,0.0617760740537109,19
PC2,0.3270570595964858,16
PC3,1.153867560414778,4
PC4,0.7934430831402806,6
PC5,0.6053662708571687,8
PC6,0.4584556517557296,13
PC7,0.06708006268414676,18
PC8,0.5998057771237363,9
PC9,0.434071563363333,14
PC10,0.5815196049181337,10
PC11,0.5799398878557235,11
PC12,0.2903180613983355,17
PC13,0.7853293541150294,7
PC14,0.3558690216213706,15
PC15,2.9187732811178217,1
PC16,0.46831166460820256,12
PC17,1.3354682521502437,3
PC18,2.387820359635551,2
PC19,0.8782232525501797,5
