PC,Importance,Rank
PC1,0.02067200462477808,19
PC2,0.09863540013413002,16
PC3,0.41972811277215594,4
PC4,0.34599819777725493,5
PC5,0.23810278766615384,10
PC6,0.24611301402352023,8
PC7,0.05127072063963072,18
PC8,0.24566769213728884,9
PC9,0.21701269872589113,12
PC10,0.21138427490895187,14
PC11,0.21190236395568116,13
PC12,0.16172007040154118,15
PC13,0.2900908939124524,7
PC14,0.061135596826184684,17
PC15,1.0654256455329911,1
PC16,0.2204077831435388,11
PC17,0.46540980866641657,3
PC18,0.8974123929064828,2
PC19,0.33613978011330725,6
