PC,Importance,Rank
PC1,0.058240950257760236,17
PC2,0.2805988205395926,14
PC3,1.0388011872385432,6
PC4,1.1702647343373411,5
PC5,0.1747121557325025,15
PC6,0.025579715616051133,19
PC7,0.3956043671171774,11
PC8,0.6116702848203005,8
PC9,0.35330003234459634,12
PC10,0.3193946488596509,13
PC11,1.262911795066393,4
PC12,0.5611044164016775,9
PC13,0.5092455949893347,10
PC14,0.8235041206757652,7
PC15,1.5492611529198308,3
PC16,0.08621423830917033,16
PC17,2.0833492538742586,1
PC18,1.769124992794082,2
PC19,0.04756462228243802,18
