PC,Importance,Rank
PC1,0.1293496061363151,16
PC2,0.015487469165790198,19
PC3,0.07012832984336227,18
PC4,0.2568544217704969,14
PC5,0.258469653467321,13
PC6,0.4460540811322603,5
PC7,0.5345577968242649,3
PC8,0.19489322508918014,15
PC9,0.7122007202972168,1
PC10,0.4703943522880185,4
PC11,0.3414353483805551,9
PC12,0.09242059221080917,17
PC13,0.30804576928701727,11
PC14,0.32788175143145687,10
PC15,0.6377157065320065,2
PC16,0.4367682355137221,6
PC17,0.3804762385325393,8
PC18,0.3957577078740361,7
PC19,0.2714887552411377,12
