PC,Importance,Rank
PC1,0.12182006195547176,11
PC2,0.05225021172331823,16
PC3,0.34923505461955967,4
PC4,0.21466679755950666,8
PC5,0.05570336973425363,14
PC6,0.2241044588488353,7
PC7,0.05852087188604387,13
PC8,0.04448099036083089,17
PC9,0.4139165460140727,3
PC10,0.527493587696155,1
PC11,0.02604171729686255,19
PC12,0.1053565400177815,12
PC13,0.039591286565307394,18
PC14,0.20967708564170465,9
PC15,0.3253725273916068,5
PC16,0.05317225857067197,15
PC17,0.4923157340935427,2
PC18,0.1406454422508203,10
PC19,0.2661185781567185,6
