PC,Importance,Rank
PC1,0.16234798151475682,16
PC2,0.028573632806945914,19
PC3,0.8276788302790563,5
PC4,0.703450085409322,6
PC5,0.213900135175765,14
PC6,0.6267990698731538,8
PC7,0.1501820589211422,18
PC8,0.28399951451966104,12
PC9,0.43192582997678386,10
PC10,0.34393681486334216,11
PC11,0.6933775692123036,7
PC12,0.16098858917462142,17
PC13,0.5322964572697487,9
PC14,0.16623195064611612,15
PC15,2.199825540809169,1
PC16,0.23447195965605502,13
PC17,1.1195540321317017,3
PC18,1.4622193920910884,2
PC19,0.9602092020176326,4
