PC,Importance,Rank
PC1,0.039976337905836,16
PC2,0.044938592066394084,15
PC3,0.010369071958312203,19
PC4,0.20865336467293547,5
PC5,0.19697806893370737,6
PC6,0.09177783867386036,9
PC7,0.06828159603839255,12
PC8,0.0830213465782698,11
PC9,0.03119149261320033,18
PC10,0.3145271262756451,4
PC11,0.11070182105136403,8
PC12,0.14403409870488687,7
PC13,0.06051076661669941,13
PC14,0.3353592661277957,2
PC15,0.05127601695085702,14
PC16,0.03988527505724525,17
PC17,0.31952004362127584,3
PC18,0.5361441743663313,1
PC19,0.08409844883760521,10
