PC,Importance,Rank
PC1,0.1058106665239722,14
PC2,0.02982738082052494,18
PC3,0.07349780863773098,17
PC4,0.11754306657375924,12
PC5,0.31322008405510693,4
PC6,0.2713696980465663,6
PC7,0.18469900656354393,10
PC8,0.30674712107606444,5
PC9,0.028904571482781884,19
PC10,0.1053114533816342,15
PC11,0.2072925647462142,7
PC12,0.20354980928631325,8
PC13,0.4178521753673188,2
PC14,0.49370904702953883,1
PC15,0.19597048682404947,9
PC16,0.0991447285337689,16
PC17,0.10687481512051952,13
PC18,0.33078760631819426,3
PC19,0.14150612295554513,11
