PC,Importance,Rank
PC1,0.1923126409207107,10
PC2,0.06630229258292997,16
PC3,0.050219030920159974,17
PC4,0.1376046932177624,13
PC5,0.29683982582797347,9
PC6,0.1785474010867868,11
PC7,0.0037805687020341094,19
PC8,0.44301544277015953,4
PC9,0.4663746861993502,3
PC10,0.33884060076173683,8
PC11,0.36141041301021587,7
PC12,0.047398848911676124,18
PC13,0.43596515396203506,5
PC14,0.5236296838490876,2
PC15,0.1121662372155403,15
PC16,0.3645589799906504,6
PC17,0.12294082285368985,14
PC18,0.17568084876785958,12
PC19,0.8206399909708858,1
