PC,Importance,Rank
PC1,0.21699021727340628,8
PC2,0.10812351916636942,14
PC3,0.34684388377058556,5
PC4,0.18451448184000005,9
PC5,0.10555730174751898,15
PC6,0.18318172111111058,10
PC7,0.05267233949874966,17
PC8,0.0415804641207865,18
PC9,0.39767909243730376,4
PC10,0.42588363651557326,3
PC11,0.23050573959418472,6
PC12,0.16474897900252033,12
PC13,0.5431487840280598,2
PC14,0.1381083598150553,13
PC15,0.0061051763700490525,19
PC16,0.07329787563979892,16
PC17,0.17823651263387555,11
PC18,0.22400458193031184,7
PC19,0.5699796338515095,1
