PC,Importance,Rank
PC1,0.2907592830375427,7
PC2,0.10011567614963668,17
PC3,0.1647966339698062,14
PC4,0.09125440182544685,18
PC5,0.07829434498003673,19
PC6,0.2890936131018902,8
PC7,0.2407168658369014,11
PC8,0.3427622216920428,5
PC9,0.2412582629255529,10
PC10,0.33276281395519386,6
PC11,0.14701626870750337,16
PC12,0.19168386200322807,13
PC13,0.14866485924296272,15
PC14,0.20195807277013395,12
PC15,0.24792326361464018,9
PC16,0.3684837476310748,4
PC17,0.467312893624631,1
PC18,0.39234716494839195,3
PC19,0.4003415955134641,2
