PC,Importance,Rank
PC1,0.23355265385045848,7
PC2,0.2921590191384008,5
PC3,0.21763758892875068,9
PC4,0.12572587299337612,13
PC5,0.1250230835131102,14
PC6,0.442129819582318,3
PC7,0.28877544328039517,6
PC8,0.008472584287923022,19
PC9,0.13500874169800361,12
PC10,0.06703894108514045,17
PC11,0.044214401019236,18
PC12,0.20762533164704874,10
PC13,0.07672448759027402,16
PC14,0.1372678516309666,11
PC15,0.44344334204251445,2
PC16,0.12172874447113384,15
PC17,0.2310256699692337,8
PC18,0.3447781569366638,4
PC19,0.4557313070335037,1
