PC,Importance,Rank
PC1,0.11744934137231328,13
PC2,0.1300032325840526,12
PC3,0.19666373484761066,8
PC4,0.24456230423367228,5
PC5,0.25478972105875186,4
PC6,0.15301334927763843,11
PC7,0.21583160207333624,7
PC8,0.006573822127690618,19
PC9,0.06235880011438927,18
PC10,0.21936124690556327,6
PC11,0.08968108432298545,15
PC12,0.1762997688034698,10
PC13,0.0644816103529402,17
PC14,0.08319467428537951,16
PC15,0.0918508748732841,14
PC16,0.4153646895446512,3
PC17,0.17735934305420603,9
PC18,0.47797012987422455,2
PC19,0.5461471444415118,1
