PC,Importance,Rank
PC1,0.2640769577884344,10
PC2,0.19633696888598157,14
PC3,0.2947053192748415,9
PC4,0.0489732022589314,19
PC5,0.08028709660891929,18
PC6,0.2592435112153065,12
PC7,0.2988111585606176,8
PC8,0.19143706404842287,15
PC9,0.6038662305995569,4
PC10,0.5487890926720078,6
PC11,0.9593068520665553,2
PC12,0.11073777322869192,17
PC13,0.6885945692092889,3
PC14,0.11743584577347985,16
PC15,0.5922562421944298,5
PC16,0.26047125479704347,11
PC17,1.0537234128409099,1
PC18,0.237223715526323,13
PC19,0.37203918462051117,7
