Brain_Region,Loading
"A46, area 46,Left",0.6479351679669874
"A9/46v, ventral area 9/46 ,Right",0.30953486079285886
"A46, area 46,Right",0.2028922765666035
"A44d,dorsal area 44,Left",0.20165750764531812
"A6vl, ventrolateral area 6,Right",0.15719031693716795
"IFJ, inferior frontal junction,Right",0.15244605650666793
"vmPu, ventromedial putamen,Left",0.1305770228760677
"A9/46v, ventral area 9/46 ,Left",0.12788220360599203
"A6dl, dorsolateral area 6,Right",0.09570842611346776
"A5l, lateral area 5,Right",0.09358888074572944
