Region ID,Gyrus,Description,Region Alias,(ID) Region Label,Count
1,Prefrontal Cortex,SFG_L_7_1,"A8m, medial area 8","(1), SFG_L_7_1",441
2,Prefrontal Cortex,SFG_R_7_1,"A8m, medial area 8","(2), SFG_R_7_1",330
3,Prefrontal Cortex,SFG_L_7_2,"A8dl, dorsolateral area 8","(3), SFG_L_7_2",177
5,Prefrontal Cortex,SFG_L_7_3,"A9l, lateral area 9","(5), SFG_L_7_3",480
6,Prefrontal Cortex,SFG_R_7_3,"A9l, lateral area 9","(6), SFG_R_7_3",483
8,Prefrontal Cortex,SFG_R_7_4,"A6dl, dorsolateral area 6","(8), SFG_R_7_4",197
11,Prefrontal Cortex,SFG_L_7_6,"A9m,medial area 9","(11), SFG_L_7_6",440
12,Prefrontal Cortex,SFG_R_7_6,"A9m,medial area 9","(12), SFG_R_7_6",477
13,Prefrontal Cortex,SFG_L_7_7,"A10m, medial area 10","(13), SFG_L_7_7",382
15,Prefrontal Cortex,MFG_L_7_1,"A9/46d, dorsal area 9/46","(15), MFG_L_7_1",258
16,Prefrontal Cortex,MFG_R_7_1,"A9/46d, dorsal area 9/46","(16), MFG_R_7_1",299
17,Prefrontal Cortex,MFG_L_7_2,"IFJ, inferior frontal junction","(17), MFG_L_7_2",479
18,Prefrontal Cortex,MFG_R_7_2,"IFJ, inferior frontal junction","(18), MFG_R_7_2",436
19,Prefrontal Cortex,MFG_L_7_3,"A46, area 46","(19), MFG_L_7_3",372
20,Prefrontal Cortex,MFG_R_7_3,"A46, area 46","(20), MFG_R_7_3",291
24,Prefrontal Cortex,MFG_R_7_5,"A8vl, ventrolateral area 8","(24), MFG_R_7_5",496
25,Prefrontal Cortex,MFG_L_7_6,"A6vl, ventrolateral area 6","(25), MFG_L_7_6",377
26,Prefrontal Cortex,MFG_R_7_6,"A6vl, ventrolateral area 6","(26), MFG_R_7_6",103
28,Prefrontal Cortex,MFG_R_7_7,"A10l, lateral area10","(28), MFG_R_7_7",397
30,Prefrontal Cortex,IFG_R_6_1,"A44d,dorsal area 44","(30), IFG_R_6_1",374
32,Prefrontal Cortex,IFG_R_6_2,"IFS, inferior frontal sulcus","(32), IFG_R_6_2",496
34,Prefrontal Cortex,IFG_R_6_3,"A45c, caudal area 45","(34), IFG_R_6_3",406
