Region ID,Gyrus,Description,Region Alias,(ID) Region Label,Count
5,Prefrontal Cortex,SFG_L_7_3,"A9l, lateral area 9","(5), SFG_L_7_3",365
6,Prefrontal Cortex,SFG_R_7_3,"A9l, lateral area 9","(6), SFG_R_7_3",384
7,Prefrontal Cortex,SFG_L_7_4,"A6dl, dorsolateral area 6","(7), SFG_L_7_4",361
8,Prefrontal Cortex,SFG_R_7_4,"A6dl, dorsolateral area 6","(8), SFG_R_7_4",288
15,Prefrontal Cortex,MFG_L_7_1,"A9/46d, dorsal area 9/46","(15), MFG_L_7_1",338
16,Prefrontal Cortex,MFG_R_7_1,"A9/46d, dorsal area 9/46","(16), MFG_R_7_1",244
17,Prefrontal Cortex,MFG_L_7_2,"IFJ, inferior frontal junction","(17), MFG_L_7_2",466
18,Prefrontal Cortex,MFG_R_7_2,"IFJ, inferior frontal junction","(18), MFG_R_7_2",320
19,Prefrontal Cortex,MFG_L_7_3,"A46, area 46","(19), MFG_L_7_3",430
21,Prefrontal Cortex,MFG_L_7_4,"A9/46v, ventral area 9/46 ","(21), MFG_L_7_4",220
24,Prefrontal Cortex,MFG_R_7_5,"A8vl, ventrolateral area 8","(24), MFG_R_7_5",476
25,Prefrontal Cortex,MFG_L_7_6,"A6vl, ventrolateral area 6","(25), MFG_L_7_6",412
26,Prefrontal Cortex,MFG_R_7_6,"A6vl, ventrolateral area 6","(26), MFG_R_7_6",58
31,Prefrontal Cortex,IFG_L_6_2,"IFS, inferior frontal sulcus","(31), IFG_L_6_2",174
32,Prefrontal Cortex,IFG_R_6_2,"IFS, inferior frontal sulcus","(32), IFG_R_6_2",483
34,Prefrontal Cortex,IFG_R_6_3,"A45c, caudal area 45","(34), IFG_R_6_3",384
35,Prefrontal Cortex,IFG_L_6_4,"A45r, rostral area 45","(35), IFG_L_6_4",181
36,Prefrontal Cortex,IFG_R_6_4,"A45r, rostral area 45","(36), IFG_R_6_4",295
38,Prefrontal Cortex,IFG_R_6_5,"A44op, opercular area 44","(38), IFG_R_6_5",151
39,Prefrontal Cortex,IFG_L_6_6,"A44v, ventral area 44","(39), IFG_L_6_6",134
41,Prefrontal Cortex,OrG_L_6_1,"A14m, medial area 14","(41), OrG_L_6_1",113
43,Prefrontal Cortex,OrG_L_6_2,"A12/47o, orbital area 12/47","(43), OrG_L_6_2",240
44,Prefrontal Cortex,OrG_R_6_2,"A12/47o, orbital area 12/47","(44), OrG_R_6_2",297
45,Prefrontal Cortex,OrG_L_6_3,"A11l, lateral area 11","(45), OrG_L_6_3",491
46,Prefrontal Cortex,OrG_R_6_3,"A11l, lateral area 11","(46), OrG_R_6_3",231
48,Prefrontal Cortex,OrG_R_6_4,"A11m, medial area 11","(48), OrG_R_6_4",406
49,Prefrontal Cortex,OrG_L_6_5,"A13, area 13","(49), OrG_L_6_5",372
53,Precentral Gyrus,PrG_L_6_1,"A4hf, area 4(head and face region)","(53), PrG_L_6_1",367
54,Precentral Gyrus,PrG_R_6_1,"A4hf, area 4(head and face region)","(54), PrG_R_6_1",481
55,Precentral Gyrus,PrG_L_6_2,"A6cdl, caudal dorsolateral area 6","(55), PrG_L_6_2",277
57,Precentral Gyrus,PrG_L_6_3,"A4ul, area 4(upper limb region)","(57), PrG_L_6_3",443
58,Precentral Gyrus,PrG_R_6_3,"A4ul, area 4(upper limb region)","(58), PrG_R_6_3",309
