Region ID,Gyrus,Description,Region Alias,(ID) Region Label,Count
2,Prefrontal Cortex,SFG_R_7_1,"A8m, medial area 8","(2), SFG_R_7_1",327
5,Prefrontal Cortex,SFG_L_7_3,"A9l, lateral area 9","(5), SFG_L_7_3",493
6,Prefrontal Cortex,SFG_R_7_3,"A9l, lateral area 9","(6), SFG_R_7_3",491
7,Prefrontal Cortex,SFG_L_7_4,"A6dl, dorsolateral area 6","(7), SFG_L_7_4",420
8,Prefrontal Cortex,SFG_R_7_4,"A6dl, dorsolateral area 6","(8), SFG_R_7_4",353
11,Prefrontal Cortex,SFG_L_7_6,"A9m,medial area 9","(11), SFG_L_7_6",439
12,Prefrontal Cortex,SFG_R_7_6,"A9m,medial area 9","(12), SFG_R_7_6",487
13,Prefrontal Cortex,SFG_L_7_7,"A10m, medial area 10","(13), SFG_L_7_7",451
14,Prefrontal Cortex,SFG_R_7_7,"A10m, medial area 10","(14), SFG_R_7_7",403
15,Prefrontal Cortex,MFG_L_7_1,"A9/46d, dorsal area 9/46","(15), MFG_L_7_1",338
16,Prefrontal Cortex,MFG_R_7_1,"A9/46d, dorsal area 9/46","(16), MFG_R_7_1",237
17,Prefrontal Cortex,MFG_L_7_2,"IFJ, inferior frontal junction","(17), MFG_L_7_2",492
21,Prefrontal Cortex,MFG_L_7_4,"A9/46v, ventral area 9/46 ","(21), MFG_L_7_4",186
24,Prefrontal Cortex,MFG_R_7_5,"A8vl, ventrolateral area 8","(24), MFG_R_7_5",500
25,Prefrontal Cortex,MFG_L_7_6,"A6vl, ventrolateral area 6","(25), MFG_L_7_6",388
26,Prefrontal Cortex,MFG_R_7_6,"A6vl, ventrolateral area 6","(26), MFG_R_7_6",61
30,Prefrontal Cortex,IFG_R_6_1,"A44d,dorsal area 44","(30), IFG_R_6_1",417
31,Prefrontal Cortex,IFG_L_6_2,"IFS, inferior frontal sulcus","(31), IFG_L_6_2",253
32,Prefrontal Cortex,IFG_R_6_2,"IFS, inferior frontal sulcus","(32), IFG_R_6_2",494
34,Prefrontal Cortex,IFG_R_6_3,"A45c, caudal area 45","(34), IFG_R_6_3",421
35,Prefrontal Cortex,IFG_L_6_4,"A45r, rostral area 45","(35), IFG_L_6_4",240
38,Prefrontal Cortex,IFG_R_6_5,"A44op, opercular area 44","(38), IFG_R_6_5",261
39,Prefrontal Cortex,IFG_L_6_6,"A44v, ventral area 44","(39), IFG_L_6_6",175
41,Prefrontal Cortex,OrG_L_6_1,"A14m, medial area 14","(41), OrG_L_6_1",68
42,Prefrontal Cortex,OrG_R_6_1,"A14m, medial area 14","(42), OrG_R_6_1",258
44,Prefrontal Cortex,OrG_R_6_2,"A12/47o, orbital area 12/47","(44), OrG_R_6_2",362
45,Prefrontal Cortex,OrG_L_6_3,"A11l, lateral area 11","(45), OrG_L_6_3",466
46,Prefrontal Cortex,OrG_R_6_3,"A11l, lateral area 11","(46), OrG_R_6_3",171
47,Prefrontal Cortex,OrG_L_6_4,"A11m, medial area 11","(47), OrG_L_6_4",218
48,Prefrontal Cortex,OrG_R_6_4,"A11m, medial area 11","(48), OrG_R_6_4",360
53,Precentral Gyrus,PrG_L_6_1,"A4hf, area 4(head and face region)","(53), PrG_L_6_1",392
54,Precentral Gyrus,PrG_R_6_1,"A4hf, area 4(head and face region)","(54), PrG_R_6_1",485
55,Precentral Gyrus,PrG_L_6_2,"A6cdl, caudal dorsolateral area 6","(55), PrG_L_6_2",316
56,Precentral Gyrus,PrG_R_6_2,"A6cdl, caudal dorsolateral area 6","(56), PrG_R_6_2",205
57,Precentral Gyrus,PrG_L_6_3,"A4ul, area 4(upper limb region)","(57), PrG_L_6_3",417
58,Precentral Gyrus,PrG_R_6_3,"A4ul, area 4(upper limb region)","(58), PrG_R_6_3",317
59,Precentral Gyrus,PrG_L_6_4,"A4t, area 4(trunk region)","(59), PrG_L_6_4",399
60,Precentral Gyrus,PrG_R_6_4,"A4t, area 4(trunk region)","(60), PrG_R_6_4",465
