Region ID,Gyrus,Description,Region Alias,(ID) Region Label,Count
5,Prefrontal Cortex,SFG_L_7_3,"A9l, lateral area 9","(5), SFG_L_7_3",481
6,Prefrontal Cortex,SFG_R_7_3,"A9l, lateral area 9","(6), SFG_R_7_3",494
7,Prefrontal Cortex,SFG_L_7_4,"A6dl, dorsolateral area 6","(7), SFG_L_7_4",216
8,Prefrontal Cortex,SFG_R_7_4,"A6dl, dorsolateral area 6","(8), SFG_R_7_4",138
9,Prefrontal Cortex,SFG_L_7_5,"A6m, medial area 6","(9), SFG_L_7_5",84
11,Prefrontal Cortex,SFG_L_7_6,"A9m,medial area 9","(11), SFG_L_7_6",441
12,Prefrontal Cortex,SFG_R_7_6,"A9m,medial area 9","(12), SFG_R_7_6",454
13,Prefrontal Cortex,SFG_L_7_7,"A10m, medial area 10","(13), SFG_L_7_7",299
14,Prefrontal Cortex,SFG_R_7_7,"A10m, medial area 10","(14), SFG_R_7_7",371
15,Prefrontal Cortex,MFG_L_7_1,"A9/46d, dorsal area 9/46","(15), MFG_L_7_1",341
16,Prefrontal Cortex,MFG_R_7_1,"A9/46d, dorsal area 9/46","(16), MFG_R_7_1",214
17,Prefrontal Cortex,MFG_L_7_2,"IFJ, inferior frontal junction","(17), MFG_L_7_2",499
18,Prefrontal Cortex,MFG_R_7_2,"IFJ, inferior frontal junction","(18), MFG_R_7_2",487
19,Prefrontal Cortex,MFG_L_7_3,"A46, area 46","(19), MFG_L_7_3",409
23,Prefrontal Cortex,MFG_L_7_5,"A8vl, ventrolateral area 8","(23), MFG_L_7_5",356
24,Prefrontal Cortex,MFG_R_7_5,"A8vl, ventrolateral area 8","(24), MFG_R_7_5",498
29,Prefrontal Cortex,IFG_L_6_1,"A44d,dorsal area 44","(29), IFG_L_6_1",402
30,Prefrontal Cortex,IFG_R_6_1,"A44d,dorsal area 44","(30), IFG_R_6_1",484
31,Prefrontal Cortex,IFG_L_6_2,"IFS, inferior frontal sulcus","(31), IFG_L_6_2",306
32,Prefrontal Cortex,IFG_R_6_2,"IFS, inferior frontal sulcus","(32), IFG_R_6_2",499
33,Prefrontal Cortex,IFG_L_6_3,"A45c, caudal area 45","(33), IFG_L_6_3",269
34,Prefrontal Cortex,IFG_R_6_3,"A45c, caudal area 45","(34), IFG_R_6_3",486
39,Prefrontal Cortex,IFG_L_6_6,"A44v, ventral area 44","(39), IFG_L_6_6",223
41,Prefrontal Cortex,OrG_L_6_1,"A14m, medial area 14","(41), OrG_L_6_1",144
45,Prefrontal Cortex,OrG_L_6_3,"A11l, lateral area 11","(45), OrG_L_6_3",416
46,Prefrontal Cortex,OrG_R_6_3,"A11l, lateral area 11","(46), OrG_R_6_3",139
47,Prefrontal Cortex,OrG_L_6_4,"A11m, medial area 11","(47), OrG_L_6_4",243
48,Prefrontal Cortex,OrG_R_6_4,"A11m, medial area 11","(48), OrG_R_6_4",328
49,Prefrontal Cortex,OrG_L_6_5,"A13, area 13","(49), OrG_L_6_5",349
51,Prefrontal Cortex,OrG_L_6_6,"A12/47l, lateral area 12/47","(51), OrG_L_6_6",145
52,Prefrontal Cortex,OrG_R_6_6,"A12/47l, lateral area 12/47","(52), OrG_R_6_6",199
53,Precentral Gyrus,PrG_L_6_1,"A4hf, area 4(head and face region)","(53), PrG_L_6_1",332
54,Precentral Gyrus,PrG_R_6_1,"A4hf, area 4(head and face region)","(54), PrG_R_6_1",498
55,Precentral Gyrus,PrG_L_6_2,"A6cdl, caudal dorsolateral area 6","(55), PrG_L_6_2",117
57,Precentral Gyrus,PrG_L_6_3,"A4ul, area 4(upper limb region)","(57), PrG_L_6_3",396
59,Precentral Gyrus,PrG_L_6_4,"A4t, area 4(trunk region)","(59), PrG_L_6_4",461
60,Precentral Gyrus,PrG_R_6_4,"A4t, area 4(trunk region)","(60), PrG_R_6_4",442
61,Precentral Gyrus,PrG_L_6_5,"A4tl, area 4(tongue and larynx region)","(61), PrG_L_6_5",130
66,Paracentral Lobule,PCL_R_2_1,"A1/2/3ll, area1/2/3 (lower limb region)","(66), PCL_R_2_1",160
67,Paracentral Lobule,PCL_L_2_2,"A4ll, area 4, (lower limb region)","(67), PCL_L_2_2",482
69,Superior Temporal Gyrus,STG_L_6_1,"A38m, medial area 38","(69), STG_L_6_1",392
70,Superior Temporal Gyrus,STG_R_6_1,"A38m, medial area 38","(70), STG_R_6_1",199
71,Superior Temporal Gyrus,STG_L_6_2,"A41/42, area 41/42","(71), STG_L_6_2",169
76,Superior Temporal Gyrus,STG_R_6_4,"A22c, caudal area 22","(76), STG_R_6_4",174
77,Superior Temporal Gyrus,STG_L_6_5,"A38l, lateral area 38","(77), STG_L_6_5",223
78,Superior Temporal Gyrus,STG_R_6_5,"A38l, lateral area 38","(78), STG_R_6_5",490
79,Superior Temporal Gyrus,STG_L_6_6,"A22r, rostral area 22","(79), STG_L_6_6",25
84,Middle Temporal Gyrus,MTG_R_4_2,"A21r, rostral area 21","(84), MTG_R_4_2",470
87,Middle Temporal Gyrus,MTG_L_4_4,"aSTS, anterior superior temporal sulcus","(87), MTG_L_4_4",173
91,Inferior Temporal Gyrus,ITG_L_7_2,"A37vm, ventromedial area37","(91), ITG_L_7_2",254
92,Inferior Temporal Gyrus,ITG_R_7_2,"A37vm, ventromedial area37","(92), ITG_R_7_2",494
94,Inferior Temporal Gyrus,ITG_R_7_3,"A20r, rostral area 20","(94), ITG_R_7_3",325
97,Inferior Temporal Gyrus,ITG_L_7_5,"A37vl, ventrolateral area 37","(97), ITG_L_7_5",158
100,Inferior Temporal Gyrus,ITG_R_7_6,"A20cl, caudolateral of area 20","(100), ITG_R_7_6",240
105,Inferior Temporal Gyrus,FuG_L_3_2,"A37vm, medioventral area37","(105), FuG_L_3_2",131
108,Inferior Temporal Gyrus,FuG_R_3_3,"A37vl, ventrolatral area37","(108), FuG_R_3_3",394
109,Middle Temporal Gyrus,PhG_L_6_1,"A35/36r, rostral area 35/36","(109), PhG_L_6_1",449
110,Middle Temporal Gyrus,PhG_R_6_1,"A35/36r, rostral area 35/36","(110), PhG_R_6_1",305
111,Middle Temporal Gyrus,PhG_L_6_2,"A35/36c, caudal area 35/36","(111), PhG_L_6_2",478
112,Middle Temporal Gyrus,PhG_R_6_2,"A35/36c, caudal area 35/36","(112), PhG_R_6_2",468
114,Middle Temporal Gyrus,PhG_R_6_3,"TL, area TL (lateral PPHC, posterior parahippocampal gyrus)","(114), PhG_R_6_3",341
116,Middle Temporal Gyrus,PhG_R_6_4,"A28/34, area 28/34 (EC, entorhinal cortex)","(116), PhG_R_6_4",491
119,Middle Temporal Gyrus,PhG_L_6_6,"TH, area TH (medial PPHC)","(119), PhG_L_6_6",355
122,Superior Temporal Gyrus,pSTS_R_2_1,"rpSTS, rostroposterior superior temporal sulcus","(122), pSTS_R_2_1",205
124,Superior Temporal Gyrus,pSTS_R_2_2,"cpSTS, caudoposterior superior temporal sulcus","(124), pSTS_R_2_2",333
126,Superior Parietal Lobule,SPL_R_5_1,"A7ip, intraparietal area 7(hIP3)","(126), SPL_R_5_1",476
128,Superior Parietal Lobule,SPL_R_5_2,"A7c, caudal area 7","(128), SPL_R_5_2",271
130,Superior Parietal Lobule,SPL_R_5_3,"A7pc, postcentral area 7","(130), SPL_R_5_3",444
133,Superior Parietal Lobule,SPL_L_5_5,"A7r, rostral area 7","(133), SPL_L_5_5",241
134,Superior Parietal Lobule,SPL_R_5_5,"A7r, rostral area 7","(134), SPL_R_5_5",298
135,Inferior Parietal Lobe,IPL_L_6_1,"A39c, caudal area 39(PGp)","(135), IPL_L_6_1",475
137,Inferior Parietal Lobe,IPL_L_6_2,"A39rd, rostrodorsal area 39(Hip3)","(137), IPL_L_6_2",362
138,Inferior Parietal Lobe,IPL_R_6_2,"A39rd, rostrodorsal area 39(Hip3)","(138), IPL_R_6_2",499
139,Inferior Parietal Lobe,IPL_L_6_3,"A40rd, rostrodorsal area 40(PFt)","(139), IPL_L_6_3",275
143,Inferior Parietal Lobe,IPL_L_6_5,"A39rv, rostroventral area 39(PGa)","(143), IPL_L_6_5",262
145,Inferior Parietal Lobe,IPL_L_6_6,"A40rv, rostroventral area 40(PFop)","(145), IPL_L_6_6",194
147,"PCC, Precuneus",Pcun_L_4_1,"A7m, medial area 7(PEp)","(147), Pcun_L_4_1",448
148,"PCC, Precuneus",Pcun_R_4_1,"A7m, medial area 7(PEp)","(148), Pcun_R_4_1",444
149,"PCC, Precuneus",Pcun_L_4_2,"A5m, medial area 5(PEm)","(149), Pcun_L_4_2",490
150,"PCC, Precuneus",Pcun_R_4_2,"A5m, medial area 5(PEm)","(150), Pcun_R_4_2",425
151,"PCC, Precuneus",Pcun_L_4_3,"dmPOS, dorsomeidal parietooccipital  sulcus(PEr) ","(151), Pcun_L_4_3",489
152,"PCC, Precuneus",Pcun_R_4_3,"dmPOS, dorsomeidal parietooccipital  sulcus(PEr) ","(152), Pcun_R_4_3",490
153,"PCC, Precuneus",Pcun_L_4_4,"A31, area 31 (Lc1)","(153), Pcun_L_4_4",446
154,"PCC, Precuneus",Pcun_R_4_4,"A31, area 31 (Lc1)","(154), Pcun_R_4_4",437
155,Postcentral Gyrus,PoG_L_4_1,"A1/2/3ulhf, area 1/2/3(upper limb, head and face region)","(155), PoG_L_4_1",223
156,Postcentral Gyrus,PoG_R_4_1,"A1/2/3ulhf, area 1/2/3(upper limb, head and face region)","(156), PoG_R_4_1",161
159,Postcentral Gyrus,PoG_L_4_3,"A2, area 2","(159), PoG_L_4_3",349
160,Postcentral Gyrus,PoG_R_4_3,"A2, area 2","(160), PoG_R_4_3",446
165,Prefrontal Cortex,INS_L_6_2,"vIa, ventral agranular insular","(165), INS_L_6_2",207
176,Cingulate Gyrus,CG_R_7_1,"A23d, dorsal area 23","(176), CG_R_7_1",406
182,Cingulate Gyrus,CG_R_7_4,"A23v, ventral area 23","(182), CG_R_7_4",474
184,Cingulate Gyrus,CG_R_7_5,"A24cd, caudodorsal area 24","(184), CG_R_7_5",177
187,Cingulate Gyrus,CG_L_7_7,"A32sg, subgenual area 32","(187), CG_L_7_7",186
188,Cingulate Gyrus,CG_R_7_7,"A32sg, subgenual area 32","(188), CG_R_7_7",187
190,"PCC, Precuneus",Cun_R_5_1,"cLinG, caudal lingual gyrus","(190), Cun_R_5_1",466
193,"PCC, Precuneus",Cun_L_5_3,"cCunG, caudal cuneus gyrus","(193), Cun_L_5_3",147
196,"PCC, Precuneus",Cun_R_5_4,"rLinG, rostral lingual gyrus","(196), Cun_R_5_4",360
197,"PCC, Precuneus",Cun_L_5_5,"vmPOS,ventomeial parietooccipital sulcus","(197), Cun_L_5_5",347
198,"PCC, Precuneus",Cun_R_5_5,"vmPOS,ventomeial parietooccipital sulcus","(198), Cun_R_5_5",372
200,Occipital Gyrus,OcG_R_4_1,"mOccG, middle occipital gyrus","(200), OcG_R_4_1",252
201,Occipital Gyrus,OcG_L_4_2,"V5/MT, area V5/MT","(201), OcG_L_4_2",71
202,Occipital Gyrus,OcG_R_4_2,"V5/MT, area V5/MT","(202), OcG_R_4_2",115
203,Occipital Gyrus,OcG_L_4_3,"OPC, occipital polar cortex","(203), OcG_L_4_3",266
206,Occipital Gyrus,OcG_R_4_4,"iOccG, inferior occipital gyrus","(206), OcG_R_4_4",242
208,Occipital Gyrus,sOcG_R_2_1,"msOccG, medial superior occipital gyrus","(208), sOcG_R_2_1",468
210,Occipital Gyrus,sOcG_R_2_2,"lsOccG, lateral superior occipital gyrus","(210), sOcG_R_2_2",247
211,Middle Temporal Gyrus,Amyg_L_2_1,"mAmyg, medial amyg","(211), Amyg_L_2_1",293
212,Middle Temporal Gyrus,Amyg_R_2_1,"mAmyg, medial amyg","(212), Amyg_R_2_1",346
