network,mean_attribution,std_attribution,n_regions,total_attribution
DefaultB,413.0,100.6062,6,2478
LimbicA,344.6667,80.6267,6,2068
LimbicB,327.8333,151.5241,18,5901
Striatum,302.5833,125.8126,12,3631
SomMotA,292.3333,129.6912,15,4385
AmyHip,276.75,130.4769,8,2214
FPC,271.2727,146.6111,11,2984
TempPar,265.6667,149.6254,18,4782
VisCent,255.6364,132.1501,11,2812
DorsAttnB,250.6667,143.9368,15,3760
Thalamus,245.875,156.2954,16,3934
SalVentAttnB,244.25,94.3958,12,2931
FPB,244.2143,158.2778,14,3419
DorsAttnA,226.2857,169.5902,14,3168
DefaultC,215.0714,109.5954,14,3011
VisPeri,211.2143,120.4314,14,2957
FPA,202.6667,78.3411,3,608
SomMotB,194.4118,110.2639,17,3305
Yeo17_0,191.0,74.1013,3,573
SalVentAttnA,152.0909,79.9193,11,1673
DefaultA,113.25,76.649,8,906
