network,mean_attribution,std_attribution,n_regions,total_attribution
DefaultB,401.0,112.5451,6,2406
Striatum,336.0833,116.3212,12,4033
SomMotA,316.7333,121.7606,15,4751
LimbicB,289.6111,148.6528,18,5213
DorsAttnB,282.6,132.5863,15,4239
FPA,280.3333,54.1233,3,841
Thalamus,277.5625,151.5783,16,4441
AmyHip,274.5,138.5218,8,2196
LimbicA,274.1667,122.6123,6,1645
FPB,265.5,158.8157,14,3717
FPC,246.4545,160.9077,11,2711
TempPar,241.3889,163.794,18,4345
SalVentAttnB,237.4167,86.5663,12,2849
VisCent,231.7273,122.944,11,2549
DorsAttnA,225.7857,158.0308,14,3161
Yeo17_0,225.6667,109.0245,3,677
DefaultC,221.9286,124.96,14,3107
VisPeri,201.6429,116.4439,14,2823
SomMotB,184.7647,125.7575,17,3141
SalVentAttnA,157.9091,75.6141,11,1737
DefaultA,114.75,68.4246,8,918
