network,mean_attribution,std_attribution,n_regions,total_attribution
DefaultB,390.8333,116.851,6,2345
FPA,333.3333,76.4613,3,1000
Striatum,327.0833,110.8377,12,3925
SomMotA,319.2,103.1103,15,4788
LimbicA,295.8333,107.2071,6,1775
LimbicB,291.5,155.7435,18,5247
Thalamus,265.25,133.839,16,4244
AmyHip,265.0,84.3123,8,2120
FPC,262.6364,124.3248,11,2889
FPB,260.1429,158.5234,14,3642
DorsAttnB,255.0667,121.6132,15,3826
TempPar,248.1667,163.9301,18,4467
SalVentAttnB,243.0,85.3602,12,2916
DorsAttnA,235.0,151.7386,14,3290
VisCent,224.8182,129.6031,11,2473
DefaultC,214.9286,103.0433,14,3009
Yeo17_0,194.3333,72.968,3,583
VisPeri,191.1429,115.5002,14,2676
SomMotB,185.4118,114.2011,17,3152
SalVentAttnA,173.6364,72.5124,11,1910
DefaultA,152.875,96.8348,8,1223
