network,mean_attribution,std_attribution,n_regions,total_attribution
DefaultB,341.1667,124.0394,6,2047
Striatum,304.0,119.4092,12,3648
SomMotA,298.5333,123.4422,15,4478
LimbicB,283.6111,148.4897,18,5105
FPA,278.6667,51.3258,3,836
LimbicA,273.3333,123.0864,6,1640
AmyHip,263.875,137.6148,8,2111
DorsAttnB,251.8667,136.7353,15,3778
Thalamus,230.25,144.6488,16,3684
Yeo17_0,225.6667,109.0245,3,677
FPB,223.7143,159.5076,14,3132
VisCent,214.5455,114.3472,11,2360
SalVentAttnB,211.0833,86.3465,12,2533
DorsAttnA,210.7857,144.5604,14,2951
TempPar,209.6111,138.7588,18,3773
FPC,206.8182,132.1528,11,2275
SomMotB,180.5882,122.5719,17,3070
VisPeri,176.5714,104.2185,14,2472
DefaultC,165.9286,88.9714,14,2323
SalVentAttnA,136.6364,70.0675,11,1503
DefaultA,111.625,68.7104,8,893
