network,mean_attribution,std_attribution,n_regions,total_attribution
DefaultB,336.0,144.2761,6,2016
SomMotA,282.4,125.5905,15,4236
Striatum,272.6667,113.2289,12,3272
LimbicB,238.3333,152.1551,18,4290
FPC,231.0,142.6457,11,2541
LimbicA,229.0,137.6881,6,1374
FPB,225.8571,157.7056,14,3162
DorsAttnB,225.6,126.6185,15,3384
Thalamus,222.0,142.921,16,3552
TempPar,207.5,144.2564,18,3735
AmyHip,203.875,116.5681,8,1631
FPA,202.6667,78.3411,3,608
SalVentAttnB,201.6667,74.978,12,2420
DorsAttnA,200.5,152.2274,14,2807
VisCent,190.0909,118.4428,11,2091
SomMotB,171.5294,109.9097,17,2916
DefaultC,169.2857,96.8388,14,2370
VisPeri,143.4286,92.3444,14,2008
Yeo17_0,130.3333,68.0172,3,391
SalVentAttnA,127.0909,55.3145,11,1398
DefaultA,101.375,79.0424,8,811
