network,mean_attribution,std_attribution,n_regions,total_attribution
DefaultB,297.5,149.3114,6,1785
Striatum,236.25,123.0093,12,2835
SomMotA,224.8,134.3068,15,3372
LimbicA,215.1667,128.7096,6,1291
FPB,208.0,163.3293,14,2912
FPA,202.6667,78.3411,3,608
FPC,197.8182,134.5748,11,2176
LimbicB,189.1667,156.0785,18,3405
DorsAttnA,179.7857,148.9301,14,2517
VisCent,177.5455,118.4402,11,1953
DorsAttnB,177.4,122.5845,15,2661
TempPar,176.8889,135.1191,18,3184
AmyHip,163.75,100.4344,8,1310
SalVentAttnB,161.4167,47.8035,12,1937
Thalamus,148.5,128.582,16,2376
DefaultC,141.2857,88.2552,14,1978
SomMotB,125.7647,83.7552,17,2138
VisPeri,107.5,83.8127,14,1505
SalVentAttnA,102.9091,47.4583,11,1132
Yeo17_0,89.3333,44.2869,3,268
DefaultA,86.375,70.1691,8,691
