network,mean_attribution,std_attribution,n_regions,total_attribution
DefaultB,390.5,143.8315,6,2343
FPA,368.6667,133.9602,3,1106
VisCent,353.8182,136.8326,11,3892
FPB,324.2143,156.9523,14,4539
SomMotA,304.8,146.7477,15,4572
LimbicA,297.6667,105.1735,6,1786
FPC,297.0,150.1606,11,3267
Striatum,289.25,149.1803,12,3471
DefaultC,265.5,125.7554,14,3717
TempPar,257.8333,150.3076,18,4641
DorsAttnA,241.8571,141.1294,14,3386
Thalamus,230.1875,174.8718,16,3683
SalVentAttnB,223.5,62.5365,12,2682
DorsAttnB,222.1333,141.1301,15,3332
LimbicB,221.7222,174.7333,18,3991
VisPeri,213.9286,110.4713,14,2995
AmyHip,195.875,100.5278,8,1567
SomMotB,174.4118,111.0704,17,2965
DefaultA,165.625,100.8251,8,1325
SalVentAttnA,163.0909,70.2246,11,1794
Yeo17_0,148.6667,70.7272,3,446
