Brain Regions,Subdivision,(ID) Region Label,Count
Thalamus,"Otha, occipital thalamus","(242), Tha_R_8_6",497
Middle Temporal Gyrus,"A35/36c, caudal area 35/36","(112), PhG_R_6_2",494
Middle Temporal Gyrus,"A28/34, area 28/34 (EC, entorhinal cortex)","(115), PhG_L_6_4",492
"PCC, Precuneus","A5m, medial area 5(PEm)","(149), Pcun_L_4_2",492
Striatum,"dCa, dorsal caudate","(227), Str_L_6_5",491
Prefrontal Cortex,"A11l, lateral area 11","(45), OrG_L_6_3",491
Inferior Temporal Gyrus,"A20r, rostral area 20","(94), ITG_R_7_3",491
Middle Temporal Gyrus,"A35/36c, caudal area 35/36","(111), PhG_L_6_2",487
Middle Temporal Gyrus,"A35/36r, rostral area 35/36","(109), PhG_L_6_1",485
Prefrontal Cortex,"IFS, inferior frontal sulcus","(32), IFG_R_6_2",483
Middle Temporal Gyrus,"mAmyg, medial amyg","(211), Amyg_L_2_1",482
Precentral Gyrus,"A4hf, area 4(head and face region)","(54), PrG_R_6_1",481
Prefrontal Cortex,"A8vl, ventrolateral area 8","(24), MFG_R_7_5",476
Middle Temporal Gyrus,"A21r, rostral area 21","(84), MTG_R_4_2",473
Superior Temporal Gyrus,"A38l, lateral area 38","(78), STG_R_6_5",472
Middle Temporal Gyrus,"A28/34, area 28/34 (EC, entorhinal cortex)","(116), PhG_R_6_4",470
Prefrontal Cortex,"IFJ, inferior frontal junction","(17), MFG_L_7_2",466
Inferior Parietal Lobe,"A39rd, rostrodorsal area 39(Hip3)","(138), IPL_R_6_2",462
Precentral Gyrus,"A4t, area 4(trunk region)","(60), PrG_R_6_4",458
Striatum,"dCa, dorsal caudate","(228), Str_R_6_5",458
"PCC, Precuneus","cLinG, caudal lingual gyrus","(190), Cun_R_5_1",456
Inferior Parietal Lobe,"A39c, caudal area 39(PGp)","(135), IPL_L_6_1",453
Inferior Temporal Gyrus,"A20r, rostral area 20","(93), ITG_L_7_3",450
Striatum,"dlPu, dorsolateral putamen","(230), Str_R_6_6",449
Precentral Gyrus,"A4ul, area 4(upper limb region)","(57), PrG_L_6_3",443
Middle Temporal Gyrus,"mAmyg, medial amyg","(212), Amyg_R_2_1",440
"PCC, Precuneus","dmPOS, dorsomeidal parietooccipital  sulcus(PEr)","(151), Pcun_L_4_3",436
Inferior Temporal Gyrus,"A37vm, ventromedial area37","(92), ITG_R_7_2",434
Thalamus,"rTtha, rostral Temporal thalamus","(238), Tha_R_8_4",434
Prefrontal Cortex,"A46, area 46","(19), MFG_L_7_3",430
Thalamus,"Otha, occipital thalamus","(241), Tha_L_8_6",428
Superior Parietal Lobule,"A7ip, intraparietal area 7(hIP3)","(126), SPL_R_5_1",427
Occipital Gyrus,"msOccG, medial superior occipital gyrus","(208), sOcG_R_2_1",427
Prefrontal Cortex,"A6vl, ventrolateral area 6","(25), MFG_L_7_6",412
Striatum,"GP, globus pallidus","(222), Str_R_6_2",408
"PCC, Precuneus","rLinG, rostral lingual gyrus","(195), Cun_L_5_4",407
Prefrontal Cortex,"A11m, medial area 11","(48), OrG_R_6_4",406
Postcentral Gyrus,"A2, area 2","(159), PoG_L_4_3",405
Inferior Parietal Lobe,"A40rd, rostrodorsal area 40(PFt)","(139), IPL_L_6_3",404
Thalamus,"mPMtha, pre-motor thalamus","(233), Tha_L_8_2",402
Superior Parietal Lobule,"A7pc, postcentral area 7","(130), SPL_R_5_3",394
Precentral Gyrus,"A4t, area 4(trunk region)","(59), PrG_L_6_4",394
Superior Temporal Gyrus,"A38m, medial area 38","(69), STG_L_6_1",393
Postcentral Gyrus,"A2, area 2","(160), PoG_R_4_3",392
Paracentral Lobule,"A4ll, area 4, (lower limb region)","(67), PCL_L_2_2",391
Occipital Gyrus,"msOccG, medial superior occipital gyrus","(207), sOcG_L_2_1",389
Middle Temporal Gyrus,"rHipp, rostral hipp","(216), Hipp_R_2_1",386
Prefrontal Cortex,"A45c, caudal area 45","(34), IFG_R_6_3",384
Prefrontal Cortex,"A9l, lateral area 9","(6), SFG_R_7_3",384
Superior Temporal Gyrus,"A38m, medial area 38","(70), STG_R_6_1",384
Inferior Temporal Gyrus,"A37vl, ventrolatral area37","(108), FuG_R_3_3",382
"PCC, Precuneus","A5m, medial area 5(PEm)","(150), Pcun_R_4_2",379
Thalamus,"cTtha, caudal Temporal thalamus","(243), Tha_L_8_7",375
Prefrontal Cortex,"A13, area 13","(49), OrG_L_6_5",372
Postcentral Gyrus,"A1/2/3ulhf, area 1/2/3(upper limb, head and face region)","(155), PoG_L_4_1",371
Precentral Gyrus,"A4hf, area 4(head and face region)","(53), PrG_L_6_1",367
Prefrontal Cortex,"A9l, lateral area 9","(5), SFG_L_7_3",365
Prefrontal Cortex,"A9m,medial area 9","(12), SFG_R_7_6",363
Striatum,"dlPu, dorsolateral putamen","(229), Str_L_6_6",362
Prefrontal Cortex,"A6dl, dorsolateral area 6","(7), SFG_L_7_4",361
Inferior Temporal Gyrus,"A20il, intermediate lateral area 20","(96), ITG_R_7_4",358
Striatum,"vmPu, ventromedial putamen","(226), Str_R_6_4",354
"PCC, Precuneus","rLinG, rostral lingual gyrus","(196), Cun_R_5_4",352
Striatum,"vCa, ventral caudate","(219), Str_L_6_1",351
Cingulate Gyrus,"A23d, dorsal area 23","(176), CG_R_7_1",350
Prefrontal Cortex,"A10l, lateral area10","(28), MFG_R_7_7",348
Prefrontal Cortex,"A8m, medial area 8","(1), SFG_L_7_1",347
"PCC, Precuneus","dmPOS, dorsomeidal parietooccipital  sulcus(PEr)","(152), Pcun_R_4_3",344
Prefrontal Cortex,"A9/46d, dorsal area 9/46","(15), MFG_L_7_1",338
"PCC, Precuneus","A7m, medial area 7(PEp)","(147), Pcun_L_4_1",336
Inferior Temporal Gyrus,"A37vm, ventromedial area37","(91), ITG_L_7_2",335
