Brain Regions,Subdivision,(ID) Region Label,Count
Middle Temporal Gyrus,"A35/36c, caudal area 35/36","(112), PhG_R_6_2",494
"PCC, Precuneus","A5m, medial area 5(PEm)","(149), Pcun_L_4_2",492
Middle Temporal Gyrus,"A35/36c, caudal area 35/36","(111), PhG_L_6_2",487
Prefrontal Cortex,"IFS, inferior frontal sulcus","(32), IFG_R_6_2",483
Thalamus,"Otha, occipital thalamus","(242), Tha_R_8_6",483
Inferior Temporal Gyrus,"A20r, rostral area 20","(94), ITG_R_7_3",481
Precentral Gyrus,"A4hf, area 4(head and face region)","(54), PrG_R_6_1",481
Middle Temporal Gyrus,"A28/34, area 28/34 (EC, entorhinal cortex)","(115), PhG_L_6_4",479
Prefrontal Cortex,"A8vl, ventrolateral area 8","(24), MFG_R_7_5",476
Middle Temporal Gyrus,"A35/36r, rostral area 35/36","(109), PhG_L_6_1",473
Middle Temporal Gyrus,"A21r, rostral area 21","(84), MTG_R_4_2",473
Middle Temporal Gyrus,"A28/34, area 28/34 (EC, entorhinal cortex)","(116), PhG_R_6_4",468
Prefrontal Cortex,"A11l, lateral area 11","(45), OrG_L_6_3",466
Prefrontal Cortex,"IFJ, inferior frontal junction","(17), MFG_L_7_2",466
Striatum,"dCa, dorsal caudate","(227), Str_L_6_5",465
