Brain Regions,Subdivision,(ID) Region Label,Count
Prefrontal Cortex,"A8vl, ventrolateral area 8","(24), MFG_R_7_5",496
Prefrontal Cortex,"IFS, inferior frontal sulcus","(32), IFG_R_6_2",496
"PCC, Precuneus","A5m, medial area 5(PEm)","(149), Pcun_L_4_2",490
"PCC, Precuneus","dmPOS, dorsomeidal parietooccipital  sulcus(PEr)","(151), Pcun_L_4_3",489
Inferior Parietal Lobe,"A39rd, rostrodorsal area 39(Hip3)","(138), IPL_R_6_2",485
Prefrontal Cortex,"A9l, lateral area 9","(6), SFG_R_7_3",483
Striatum,"dCa, dorsal caudate","(227), Str_L_6_5",482
Prefrontal Cortex,"A9l, lateral area 9","(5), SFG_L_7_3",480
Prefrontal Cortex,"IFJ, inferior frontal junction","(17), MFG_L_7_2",479
Middle Temporal Gyrus,"A35/36c, caudal area 35/36","(111), PhG_L_6_2",478
Inferior Parietal Lobe,"A39c, caudal area 39(PGp)","(135), IPL_L_6_1",475
Middle Temporal Gyrus,"A35/36c, caudal area 35/36","(112), PhG_R_6_2",468
